"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";
1001072;"Szczerców (2)";7054;1163;202;1284;
1001083;"Zelów (3)";12501;1935;309;2303;
1001084;"Zelów - urban area (4)";6323;1104;153;965;
1001085;"Zelów - rural area (5)";6178;831;156;1338;
1002000;"Powiat kutnowski";82354;14732;2266;13364;
1002011;"Kutno (1)";37555;8527;974;4388;
1002022;"Bedlno (2)";4661;574;107;1003;
1002032;"Dąbrowice (2)";1595;173;49;333;
1002043;"Krośniewice (3)";7016;942;191;1430;
1002044;"Krośniewice - urban area (4)";3664;608;98;615;
1002045;"Krośniewice - rural area (5)";3352;334;93;815;
1002052;"Krzyżanów (2)";3539;470;90;819;
1002062;"Kutno (2)";7660;1460;238;1250;
1002072;"Łanięta (2)";1971;141;93;531;
1002082;"Nowe Ostrowy (2)";2911;282;95;716;
1002092;"Oporów (2)";2081;234;63;484;
1002102;"Strzelce (2)";3313;427;111;696;
1002113;"Żychlin (3)";10052;1502;255;1714;
1002114;"Żychlin - urban area (4)";6915;1116;176;1126;
1002115;"Żychlin - rural area (5)";3137;386;79;588;
1003000;"Powiat łaski";42945;8173;1219;6388;
1003012;"Buczek (2)";4339;657;150;794;
1003023;"Łask (3)";23812;5316;668;2941;
1003024;"Łask - urban area (4)";14677;3557;379;1557;
1003025;"Łask - rural area (5)";9135;1759;289;1384;
1003032;"Sędziejowice (2)";5438;768;171;944;
1003042;"Widawa (2)";6234;833;134;1178;
1003052;"Wodzierady (2)";3122;599;96;531;
1004000;"Powiat łęczycki";41967;6504;1410;8837;
1004011;"Łęczyca (1)";11849;2530;417;1772;
1004022;"Daszyna (2)";3279;351;107;825;
1004032;"Góra Świętej Małgorzaty (2)";3753;448;136;985;
1004042;"Grabów (2)";4841;606;162;1105;
1004052;"Łęczyca (2)";7235;1059;265;1568;
1004063;"Piątek (3)";5025;682;139;1289;
1004064;"Piątek - urban area (4)";1474;273;33;285;
1004065;"Piątek - rural area (5)";3551;409;106;1004;
1004072;"Świnice Warckie (2)";3248;468;102;760;
1004082;"Witonia (2)";2737;360;82;533;
1005000;"Powiat łowicki";65783;12644;1823;9938;
1005011;"Łowicz (1)";23655;6041;625;2442;
1005022;"Bielawy (2)";4563;577;110;1044;
1005032;"Chąśno (2)";2536;337;92;488;
1005042;"Domaniewice (2)";3864;571;110;688;
1005052;"Kiernozia (2)";2820;355;69;559;
1005062;"Kocierzew Południowy (2)";3570;436;103;611;
1005072;"Łowicz (2)";6532;1214;181;1068;
1005082;"Łyszkowice (2)";5617;757;186;1086;
1005092;"Nieborów (2)";7982;1542;249;1124;
1005102;"Zduny (2)";4644;814;98;828;
1006000;"Powiat łódzki wschodni";63333;15478;1775;8866;
1006022;"Andrespol (2)";12398;3191;366;1615;
1006032;"Brójce (2)";5951;1414;178;941;
1006073;"Koluszki (3)";20082;4661;510;2518;
1006074;"Koluszki - urban area (4)";10952;2601;256;1243;
1006075;"Koluszki - rural area (5)";9130;2060;254;1275;
1006082;"Nowosolna (2)";4667;1665;164;558;
1006103;"Rzgów (3)";9318;2317;272;1255;
1006104;"Rzgów - urban area (4)";2984;712;81;370;
1006105;"Rzgów - rural area (5)";6334;1605;191;885;
1006113;"Tuszyn (3)";10917;2230;285;1979;
1006114;"Tuszyn - urban area (4)";6290;1289;157;990;
1006115;"Tuszyn - rural area (5)";4627;941;128;989;
1007000;"Powiat opoczyński";63071;11010;1639;11389;
1007012;"Białaczów (2)";4873;618;124;1195;
1007023;"Drzewica (3)";8659;1402;228;1573;
1007024;"Drzewica - urban area (4)";3198;659;73;404;
1007025;"Drzewica - rural area (5)";5461;743;155;1169;
1007032;"Mniszków (2)";4003;568;120;933;
1007043;"Opoczno (3)";28183;5996;692;3717;
1007044;"Opoczno - urban area (4)";17365;4122;426;1742;
1007045;"Opoczno - rural area (5)";10818;1874;266;1975;
1007052;"Paradyż (2)";3600;473;124;905;
1007062;"Poświętne (2)";2593;326;76;596;
1007072;"Sławno (2)";6279;1010;173;1292;
1007082;"Żarnów (2)";4881;617;102;1178;
1008000;"Powiat pabianicki";104780;24650;2735;14622;
1008011;"Konstantynów Łódzki (1)";16350;4203;417;2218;
1008021;"Pabianice (1)";55959;12623;1391;7476;
1008032;"Dłutów (2)";4171;782;151;871;
1008042;"Dobroń (2)";6879;1549;191;989;
1008052;"Ksawerów (2)";6612;1751;160;889;
1008062;"Lutomiersk (2)";7862;1822;242;1294;
1008072;"Pabianice (2)";6947;1920;183;885;
1009000;"Powiat pajęczański";43197;7000;1187;7613;
1009013;"Działoszyn (3)";10325;1955;286;1441;
1009014;"Działoszyn - urban area (4)";4847;1101;108;561;
1009015;"Działoszyn - rural area (5)";5478;854;178;880;
1009022;"Kiełczygłów (2)";3401;427;96;700;
1009032;"Nowa Brzeźnica (2)";3916;573;106;751;
1009043;"Pajęczno (3)";9858;1940;242;1282;
1009044;"Pajęczno - urban area (4)";5683;1311;131;560;
1009045;"Pajęczno - rural area (5)";4175;629;111;722;
1009052;"Rząśnia (2)";4147;614;119;863;
1009062;"Siemkowice (2)";3950;451;129;954;
1009072;"Strzelce Wielkie (2)";3797;468;114;811;
1009082;"Sulmierzyce (2)";3803;572;95;811;
1010000;"Powiat piotrkowski";77845;12906;2439;14189;
1010012;"Aleksandrów (2)";3739;473;107;956;
1010022;"Czarnocin (2)";3513;532;109;805;
1010032;"Gorzkowice (2)";7205;1110;246;1240;
1010042;"Grabica (2)";5064;758;167;998;
1010052;"Łęki Szlacheckie (2)";2881;300;86;752;
1010062;"Moszczenica (2)";10918;1900;402;1873;
1010072;"Ręczno (2)";2918;389;67;662;
1010082;"Rozprza (2)";10488;1652;335;1838;
1010093;"Sulejów (3)";14296;2819;432;2205;
1010094;"Sulejów - urban area (4)";5261;1047;161;685;
1010095;"Sulejów - rural area (5)";9035;1772;271;1520;
1010102;"Wola Krzysztoporska (2)";10161;1664;299;1766;
1010113;"Wolbórz (3)";6662;1309;189;1094;
1010114;"Wolbórz - urban area (4)";1947;531;51;203;
1010115;"Wolbórz - rural area (5)";4715;778;138;891;
1011000;"Powiat poddębicki";34719;5524;1071;6892;
1011012;"Dalików (2)";3379;534;116;687;
1011022;"Pęczniew (2)";2965;357;87;609;
1011033;"Poddębice (3)";12987;2528;389;2181;
1011034;"Poddębice - urban area (4)";6154;1519;189;765;
1011035;"Poddębice - rural area (5)";6833;1009;200;1416;
1011043;"Uniejów (3)";5989;1010;176;1232;
1011044;"Uniejów - urban area (4)";2590;600;69;363;
1011045;"Uniejów - rural area (5)";3399;410;107;869;
1011052;"Wartkowice (2)";5236;594;187;1217;
1011062;"Zadzim (2)";4163;501;116;966;
1012000;"Powiat radomszczański";95905;16988;2804;15526;
1012011;"Radomsko (1)";39409;8737;994;4788;
1012022;"Dobryszyce (2)";3885;768;155;634;
1012032;"Gidle (2)";5165;770;156;867;
1012042;"Gomunice (2)";4964;829;159;798;
1012053;"Kamieńsk (3)";4952;778;144;858;
1012054;"Kamieńsk - urban area (4)";2332;479;62;239;
1012055;"Kamieńsk - rural area (5)";2620;299;82;619;
1012062;"Kobiele Wielkie (2)";3693;518;136;766;
1012072;"Kodrąb (2)";3820;514;114;752;
1012082;"Lgota Wielka (2)";3653;500;109;682;
1012092;"Ładzice (2)";4078;516;142;860;
1012102;"Masłowice (2)";3437;423;116;748;
1012113;"Przedbórz (3)";5909;971;145;1148;
1012114;"Przedbórz - urban area (4)";2902;664;59;306;
1012115;"Przedbórz - rural area (5)";3007;307;86;842;
1012122;"Radomsko (2)";4732;797;175;825;
1012132;"Wielgomłyny (2)";3847;419;126;804;
1012142;"Żytno (2)";4361;448;133;996;
1013000;"Powiat rawski";40520;7270;1072;6636;
1013011;"Rawa Mazowiecka (1)";14223;3448;338;1419;
1013023;"Biała Rawska (3)";9564;1398;264;2000;
1013024;"Biała Rawska - urban area (4)";2719;474;79;463;
1013025;"Biała Rawska - rural area (5)";6845;924;185;1537;
1013032;"Cielądz (2)";3301;476;76;637;
1013042;"Rawa Mazowiecka (2)";7424;1177;208;1249;
1013052;"Regnów (2)";1498;211;55;289;
1013062;"Sadkowice (2)";4510;560;131;1042;
1014000;"Powiat sieradzki";98842;18638;2843;15878;
1014011;"Sieradz (1)";35233;9064;930;3821;
1014023;"Błaszki (3)";12263;1742;392;2510;
1014024;"Błaszki - urban area (4)";1828;321;46;332;
1014025;"Błaszki - rural area (5)";10435;1421;346;2178;
1014032;"Brąszewice (2)";3669;460;126;757;
1014042;"Brzeźnio (2)";5304;909;171;809;
1014052;"Burzenin (2)";4640;594;122;1006;
1014062;"Goszczanów (2)";4540;503;141;971;
1014072;"Klonowa (2)";2371;322;67;459;
1014082;"Sieradz (2)";9119;1719;266;1600;
1014093;"Warta (3)";10512;1595;270;2055;
1014094;"Warta - urban area (4)";2684;559;67;408;
1014095;"Warta - rural area (5)";7828;1036;203;1647;
1014102;"Wróblew (2)";5171;777;138;945;
1014113;"Złoczew (3)";6020;953;220;945;
1014114;"Złoczew - urban area (4)";2941;615;105;340;
1014115;"Złoczew - rural area (5)";3079;338;115;605;
1015000;"Powiat skierniewicki";32376;5724;1082;5018;
1015012;"Bolimów (2)";3351;589;111;548;
1015022;"Głuchów (2)";4832;719;156;786;
1015032;"Godzianów (2)";2210;357;69;394;
1015042;"Kowiesy (2)";2447;415;77;399;
1015052;"Lipce Reymontowskie (2)";2744;460;95;437;
1015062;"Maków (2)";5082;908;190;689;
1015072;"Nowy Kawęczyn (2)";2915;533;92;490;
1015082;"Skierniewice (2)";6660;1439;219;915;
1015092;"Słupia (2)";2135;304;73;360;
1016000;"Powiat tomaszowski";98105;18386;2680;14315;
1016011;"Tomaszów Mazowiecki (1)";52254;10683;1379;6130;
1016022;"Będków (2)";2762;390;51;618;
1016032;"Budziszewice (2)";1787;250;53;424;
1016042;"Czerniewice (2)";4163;567;112;783;
1016052;"Inowłódz (2)";3239;597;77;545;
1016062;"Lubochnia (2)";6149;1022;222;1140;
1016072;"Rokiciny (2)";5267;1018;136;838;
1016082;"Rzeczyca (2)";3876;456;120;896;
1016092;"Tomaszów Mazowiecki (2)";9467;1981;235;1282;
1016102;"Ujazd (2)";6412;1096;194;961;
1016112;"Żelechlinek (2)";2729;326;101;698;
1017000;"Powiat wieluński";64350;11451;1769;8643;
1017012;"Biała (2)";4613;590;139;725;
1017022;"Czarnożyły (2)";3815;539;107;552;
1017032;"Konopnica (2)";3169;407;77;579;
1017042;"Mokrsko (2)";4474;682;117;666;
1017052;"Osjaków (2)";3954;621;121;667;
1017062;"Ostrówek (2)";3854;534;133;635;
1017072;"Pątnów (2)";5392;782;171;905;
1017082;"Skomlin (2)";2757;350;87;438;
1017093;"Wieluń (3)";26706;6108;674;2602;
1017094;"Wieluń - urban area (4)";18933;4744;473;1557;
1017095;"Wieluń - rural area (5)";7773;1364;201;1045;
1017102;"Wierzchlas (2)";5616;838;143;874;
1018000;"Powiat wieruszowski";36068;5640;1111;5094;
1018012;"Bolesławiec (2)";3464;529;104;512;
1018022;"Czastary (2)";3336;446;119;513;
1018032;"Galewice (2)";5258;686;176;940;
1018043;"Lututów (3)";3945;615;149;609;
1018044;"Lututów - urban area (4)";1895;378;63;211;
1018045;"Lututów - rural area (5)";2050;237;86;398;
1018052;"Łubnice (2)";3447;387;110;614;
1018062;"Sokolniki (2)";4310;658;78;645;
1018073;"Wieruszów (3)";12308;2319;375;1261;
1018074;"Wieruszów - urban area (4)";7410;1578;214;642;
1018075;"Wieruszów - rural area (5)";4898;741;161;619;
1019000;"Powiat zduńskowolski";56056;10526;1852;7697;
1019011;"Zduńska Wola (1)";34968;7167;1134;4096;
1019023;"Szadek (3)";6168;887;223;1197;
1019024;"Szadek - urban area (4)";1597;263;51;267;
1019025;"Szadek - rural area (5)";4571;624;172;930;
1019032;"Zapolice (2)";4588;736;150;745;
1019042;"Zduńska Wola (2)";10332;1736;345;1659;
1020000;"Powiat zgierski";145493;33894;4316;19618;
1020011;"Głowno (1)";12004;2469;337;1545;
1020021;"Ozorków (1)";16425;2923;500;2403;
1020031;"Zgierz (1)";48434;11716;1399;5840;
1020043;"Aleksandrów Łódzki (3)";29139;8003;903;3520;
1020044;"Aleksandrów Łódzki - urban area (4)";19168;4615;612;2419;
1020045;"Aleksandrów Łódzki - rural area (5)";9971;3388;291;1101;
1020052;"Głowno (2)";4097;540;154;891;
1020062;"Ozorków (2)";6234;1228;187;1148;
1020072;"Parzęczew (2)";4451;796;153;682;
1020083;"Stryków (3)";11149;2485;298;1885;
1020084;"Stryków - urban area (4)";2983;567;75;462;
1020085;"Stryków - rural area (5)";8166;1918;223;1423;
1020092;"Zgierz (2)";13560;3734;385;1704;
1021000;"Powiat brzeziński";26323;4845;734;4272;
1021011;"Brzeziny (1)";10523;2195;270;1464;
1021022;"Brzeziny (2)";5158;927;158;905;
1021032;"Dmosin (2)";3874;537;104;723;
1021042;"Jeżów (2)";2792;407;87;585;
1021052;"Rogów (2)";3976;779;115;595;
1061000;"City with powiat status Łódź";597630;183496;14446;61431;
1061011;"Łódź (1)";597630;183496;14446;61431;
1062000;"City with powiat status Piotrków Trybunalski";60556;15402;1422;6527;
1062011;"Piotrków Trybunalski (1)";60556;15402;1422;6527;
1063000;"City with powiat status Skierniewice";40159;12096;1068;3535;
1063011;"Skierniewice (1)";40159;12096;1068;3535;
1200000;"MAŁOPOLSKIE";2940656;752962;78585;312108;
1201000;"Powiat bocheński";89762;17610;2592;9511;
1201011;"Bochnia (1)";24928;6830;673;1778;
1201022;"Bochnia (2)";17180;3050;492;1781;
1201032;"Drwinia (2)";5560;808;144;869;
1201042;"Lipnica Murowana (2)";4597;628;117;746;
1201052;"Łapanów (2)";7026;1094;231;750;
1201063;"Nowy Wiśnicz (3)";11815;2023;391;1471;
1201064;"Nowy Wiśnicz - urban area (4)";2347;556;52;223;
1201065;"Nowy Wiśnicz - rural area (5)";9468;1467;339;1248;
1201072;"Rzezawa (2)";9578;1602;280;1144;
1201082;"Trzciana (2)";4596;754;137;505;
1201092;"Żegocina (2)";4482;821;127;467;
1202000;"Powiat brzeski";78485;13381;2267;8915;
1202012;"Borzęcin (2)";7069;940;193;909;
1202023;"Brzesko (3)";30712;6605;859;2814;
1202024;"Brzesko - urban area (4)";13999;3639;321;1058;
1202025;"Brzesko - rural area (5)";16713;2966;538;1756;
1202033;"Czchów (3)";8180;1310;266;1016;
1202034;"Czchów - urban area (4)";1992;409;63;205;
1202035;"Czchów - rural area (5)";6188;901;203;811;
1202042;"Dębno (2)";12300;2015;343;1335;
1202052;"Gnojnik (2)";6761;830;234;855;
1202062;"Iwkowa (2)";5409;771;165;754;
1202072;"Szczurowa (2)";8054;910;207;1232;
1203000;"Powiat chrzanowski";106559;21918;2942;12959;
1203013;"Alwernia (3)";10801;2084;296;1461;
1203014;"Alwernia - urban area (4)";2885;716;83;291;
1203015;"Alwernia - rural area (5)";7916;1368;213;1170;
1203022;"Babice (2)";7885;1518;215;1029;
1203033;"Chrzanów (3)";40057;9009;1067;4494;
1203034;"Chrzanów - urban area (4)";31157;7308;817;3310;
1203035;"Chrzanów - rural area (5)";8900;1701;250;1184;
1203043;"Libiąż (3)";18898;3378;554;2517;
1203044;"Libiąż - urban area (4)";14307;2655;424;1789;
1203045;"Libiąż - rural area (5)";4591;723;130;728;
1203053;"Trzebinia (3)";28918;5929;810;3458;
1203054;"Trzebinia - urban area (4)";16786;3325;510;1967;
1203055;"Trzebinia - rural area (5)";12132;2604;300;1491;
1204000;"Powiat dąbrowski";50340;7919;1511;6632;
1204012;"Bolesław (2)";2415;320;81;396;
1204023;"Dąbrowa Tarnowska (3)";18020;3367;490;2043;
1204024;"Dąbrowa Tarnowska - urban area (4)";10051;2528;209;788;
1204025;"Dąbrowa Tarnowska - rural area (5)";7969;839;281;1255;
1204032;"Gręboszów (2)";2946;396;140;166;
1204042;"Mędrzechów (2)";2954;369;93;478;
1204052;"Olesno (2)";6646;991;169;917;
1204062;"Radgoszcz (2)";6364;767;227;1124;
1204073;"Szczucin (3)";10995;1709;311;1508;
1204074;"Szczucin - urban area (4)";3572;834;84;279;
1204075;"Szczucin - rural area (5)";7423;875;227;1229;
1205000;"Powiat gorlicki";91159;15670;2704;11018;
1205011;"Gorlice (1)";23145;5459;527;1941;
1205023;"Biecz (3)";14165;2205;391;1818;
1205024;"Biecz - urban area (4)";3871;817;99;373;
1205025;"Biecz - rural area (5)";10294;1388;292;1445;
1205033;"Bobowa (3)";7932;1153;280;1119;
1205034;"Bobowa - urban area (4)";2549;540;65;308;
1205035;"Bobowa - rural area (5)";5383;613;215;811;
1205042;"Gorlice (2)";14565;2562;411;1562;
1205052;"Lipinki (2)";5766;829;121;763;
1205062;"Łużna (2)";7055;982;246;877;
1205072;"Moszczenica (2)";4090;522;147;483;
1205082;"Ropa (2)";4555;548;180;728;
1205092;"Sękowa (2)";4187;708;152;633;
1205102;"Uście Gorlickie (2)";5699;702;249;1094;
1206000;"Powiat krakowski";249758;64891;7222;26341;
1206012;"Czernichów (2)";12812;2619;448;1764;
1206022;"Igołomia-Wawrzeńczyce (2)";6771;939;185;898;
1206032;"Iwanowice (2)";8181;1719;241;1013;
1206042;"Jerzmanowice-Przeginia (2)";9531;1925;310;1428;
1206052;"Kocmyrzów-Luborzyca (2)";14787;3537;447;1589;
1206063;"Krzeszowice (3)";27845;6379;728;3028;
1206064;"Krzeszowice - urban area (4)";8641;2452;233;714;
1206065;"Krzeszowice - rural area (5)";19204;3927;495;2314;
1206072;"Liszki (2)";15145;3408;460;1946;
1206082;"Michałowice (2)";10518;3617;336;879;
1206092;"Mogilany (2)";13109;4037;426;1336;
1206103;"Skała (3)";9245;2087;254;1099;
1206104;"Skała - urban area (4)";3260;770;89;294;
1206105;"Skała - rural area (5)";5985;1317;165;805;
1206113;"Skawina (3)";37564;8065;1041;3788;
1206114;"Skawina - urban area (4)";20924;5030;573;1965;
1206115;"Skawina - rural area (5)";16640;3035;468;1823;
1206123;"Słomniki (3)";11884;2167;312;1289;
1206124;"Słomniki - urban area (4)";3691;784;93;339;
1206125;"Słomniki - rural area (5)";8193;1383;219;950;
1206132;"Sułoszowa (2)";4909;801;156;737;
1206143;"Świątniki Górne (3)";9122;2129;240;982;
1206144;"Świątniki Górne - urban area (4)";2057;524;51;165;
1206145;"Świątniki Górne - rural area (5)";7065;1605;189;817;
1206152;"Wielka Wieś (2)";12473;4630;344;1027;
1206162;"Zabierzów (2)";24326;7874;689;1968;
1206172;"Zielonki (2)";21536;8958;605;1570;
1207000;"Powiat limanowski";108136;18282;3654;15311;
1207011;"Limanowa (1)";12342;3302;303;1051;
1207021;"Mszana Dolna (1)";6724;1567;232;651;
1207032;"Dobra (2)";8315;1276;274;1175;
1207042;"Jodłownik (2)";7132;1000;230;986;
1207052;"Kamienica (2)";6468;940;217;960;
1207062;"Laskowa (2)";6598;1088;285;944;
1207072;"Limanowa (2)";20952;3406;691;2709;
1207082;"Łukowica (2)";8160;1262;240;1296;
1207092;"Mszana Dolna (2)";14578;1889;543;2701;
1207102;"Niedźwiedź (2)";6022;754;216;1315;
1207112;"Słopnice (2)";5508;732;234;935;
1207122;"Tymbark (2)";5337;1066;189;588;
1208000;"Powiat miechowski";41583;7605;1096;5737;
1208012;"Charsznica (2)";6405;1007;190;951;
1208022;"Gołcza (2)";5179;758;165;761;
1208032;"Kozłów (2)";3927;522;97;702;
1208042;"Książ Wielki (2)";4330;761;83;730;
1208053;"Miechów (3)";16654;3928;405;1608;
1208054;"Miechów - urban area (4)";9915;2883;209;745;
1208055;"Miechów - rural area (5)";6739;1045;196;863;
1208062;"Racławice (2)";2069;267;56;369;
1208072;"Słaboszów (2)";3019;362;100;616;
1209000;"Powiat myślenicki";107969;21502;3114;12695;
1209013;"Dobczyce (3)";12956;2773;381;1344;
1209014;"Dobczyce - urban area (4)";5282;1406;131;428;
1209015;"Dobczyce - rural area (5)";7674;1367;250;916;
1209022;"Lubień (2)";8385;1368;230;1057;
1209033;"Myślenice (3)";38025;9298;1060;3727;
1209034;"Myślenice - urban area (4)";15510;4674;364;1235;
1209035;"Myślenice - rural area (5)";22515;4624;696;2492;
1209042;"Pcim (2)";9367;1504;296;1359;
1209052;"Raciechowice (2)";5337;748;154;674;
1209062;"Siepraw (2)";7782;1499;228;845;
1209073;"Sułkowice (3)";12629;2295;342;1346;
1209074;"Sułkowice - urban area (4)";5524;1021;147;480;
1209075;"Sułkowice - rural area (5)";7105;1274;195;866;
1209082;"Tokarnia (2)";7285;987;242;1442;
1209092;"Wiśniowa (2)";6203;1030;181;901;
1210000;"Powiat nowosądecki";177458;30351;5812;22111;
1210011;"Grybów (1)";5087;1031;132;477;
1210022;"Chełmiec (2)";24053;4772;773;2184;
1210032;"Gródek nad Dunajcem (2)";7545;1040;243;1251;
1210042;"Grybów (2)";20370;3055;721;2858;
1210052;"Kamionka Wielka (2)";8520;1455;293;1088;
1210062;"Korzenna (2)";11770;1679;439;1754;
1210073;"Krynica-Zdrój (3)";13772;2646;358;1650;
1210074;"Krynica-Zdrój - urban area (4)";8835;1919;172;847;
1210075;"Krynica-Zdrój - rural area (5)";4937;727;186;803;
1210082;"Łabowa (2)";4801;670;207;789;
1210092;"Łącko (2)";13427;2068;462;1878;
1210102;"Łososina Dolna (2)";9051;1389;259;1221;
1210113;"Muszyna (3)";9649;1533;306;1149;
1210114;"Muszyna - urban area (4)";4049;765;101;383;
1210115;"Muszyna - rural area (5)";5600;768;205;766;
1210122;"Nawojowa (2)";7156;1229;262;974;
1210133;"Piwniczna-Zdrój (3)";8628;1312;288;1375;
1210134;"Piwniczna-Zdrój - urban area (4)";4745;796;129;647;
1210135;"Piwniczna-Zdrój - rural area (5)";3883;516;159;728;
1210142;"Podegrodzie (2)";10708;2014;367;1158;
1210152;"Rytro (2)";3114;495;94;446;
1210163;"Stary Sącz (3)";19807;3963;608;1859;
1210164;"Stary Sącz - urban area (4)";7563;1848;204;495;
1210165;"Stary Sącz - rural area (5)";12244;2115;404;1364;
1211000;"Powiat nowotarski";161879;26397;5460;28232;
1211011;"Nowy Targ (1)";28941;6844;915;2828;
1211023;"Szczawnica (3)";5986;1085;158;867;
1211024;"Szczawnica - urban area (4)";4753;885;107;625;
1211025;"Szczawnica - rural area (5)";1233;200;51;242;
1211032;"Czarny Dunajec (2)";18929;2289;678;4665;
1211042;"Czorsztyn (2)";6419;910;213;1123;
1211052;"Jabłonka (2)";15554;2046;533;3485;
1211062;"Krościenko nad Dunajcem (2)";5685;944;207;957;
1211072;"Lipnica Wielka (2)";4990;591;186;1318;
1211082;"Łapsze Niżne (2)";7872;1100;265;1484;
1211092;"Nowy Targ (2)";20429;2831;727;3769;
1211102;"Ochotnica Dolna (2)";7044;1006;251;1356;
1211112;"Raba Wyżna (2)";12319;1730;438;1937;
1211123;"Rabka-Zdrój (3)";14543;3410;416;1644;
1211124;"Rabka-Zdrój - urban area (4)";10925;2829;277;1072;
1211125;"Rabka-Zdrój - rural area (5)";3618;581;139;572;
1211132;"Spytkowice (2)";3822;515;129;644;
1211142;"Szaflary (2)";9346;1096;344;2155;
1212000;"Powiat olkuski";95024;22007;2166;10987;
1212011;"Bukowno (1)";8648;2022;161;911;
1212032;"Bolesław (2)";6720;1405;141;787;
1212042;"Klucze (2)";12982;2905;341;1577;
1212053;"Olkusz (3)";41103;10501;925;4270;
1212054;"Olkusz - urban area (4)";29507;7907;679;2658;
1212055;"Olkusz - rural area (5)";11596;2594;246;1612;
1212062;"Trzyciąż (2)";6016;954;183;962;
1212073;"Wolbrom (3)";19555;4220;415;2480;
1212074;"Wolbrom - urban area (4)";7359;1912;152;675;
1212075;"Wolbrom - rural area (5)";12196;2308;263;1805;
1213000;"Powiat oświęcimski";130899;26487;3267;13545;
1213011;"Oświęcim (1)";32644;7330;839;3203;
1213023;"Brzeszcze (3)";18122;3602;487;1807;
1213024;"Brzeszcze - urban area (4)";9690;1896;282;1024;
1213025;"Brzeszcze - rural area (5)";8432;1706;205;783;
1213033;"Chełmek (3)";11060;2036;265;1280;
1213034;"Chełmek - urban area (4)";7642;1407;176;857;
1213035;"Chełmek - rural area (5)";3418;629;89;423;
1213043;"Kęty (3)";28810;5773;693;2793;
1213044;"Kęty - urban area (4)";15738;3614;341;1343;
1213045;"Kęty - rural area (5)";13072;2159;352;1450;
1213052;"Osiek (2)";6961;1091;168;854;
1213062;"Oświęcim (2)";16262;3796;399;1565;
1213072;"Polanka Wielka (2)";3633;664;91;386;
1213082;"Przeciszów (2)";5613;910;131;753;
1213093;"Zator (3)";7794;1285;194;904;
1213094;"Zator - urban area (4)";3133;629;71;303;
1213095;"Zator - rural area (5)";4661;656;123;601;
1214000;"Powiat proszowicki";37067;5400;1048;5723;
1214012;"Koniusza (2)";7663;1124;208;1088;
1214023;"Koszyce (3)";4731;514;124;874;
1214024;"Koszyce - urban area (4)";705;125;18;78;
1214025;"Koszyce - rural area (5)";4026;389;106;796;
1214033;"Nowe Brzesko (3)";4977;692;162;822;
1214034;"Nowe Brzesko - urban area (4)";1426;287;42;155;
1214035;"Nowe Brzesko - rural area (5)";3551;405;120;667;
1214042;"Pałecznica (2)";3054;290;104;593;
1214053;"Proszowice (3)";13807;2468;357;1863;
1214054;"Proszowice - urban area (4)";5228;1246;129;460;
1214055;"Proszowice - rural area (5)";8579;1222;228;1403;
1214062;"Radziemice (2)";2835;312;93;483;
1215000;"Powiat suski";70990;11746;2347;10506;
1215011;"Jordanów (1)";4539;1052;137;408;
1215021;"Sucha Beskidzka (1)";7863;1901;203;675;
1215032;"Budzów (2)";7313;875;260;1365;
1215042;"Bystra-Sidzina (2)";5729;760;227;1132;
1215052;"Jordanów (2)";9378;1235;317;1655;
1215063;"Maków Podhalański (3)";13646;2273;501;2091;
1215064;"Maków Podhalański - urban area (4)";4895;1097;156;493;
1215065;"Maków Podhalański - rural area (5)";8751;1176;345;1598;
1215072;"Stryszawa (2)";10208;1688;321;1302;
1215082;"Zawoja (2)";7605;1069;246;1299;
1215092;"Zembrzyce (2)";4709;893;135;579;
1216000;"Powiat tarnowski";169417;28500;4746;21458;
1216013;"Ciężkowice (3)";9288;1267;280;1329;
1216014;"Ciężkowice - urban area (4)";2108;441;50;189;
1216015;"Ciężkowice - rural area (5)";7180;826;230;1140;
1216022;"Gromnik (2)";7334;850;225;1085;
1216032;"Lisia Góra (2)";12996;2277;343;1582;
1216042;"Pleśna (2)";10127;1692;312;1261;
1216053;"Radłów (3)";8220;1380;204;1065;
1216054;"Radłów - urban area (4)";2320;465;70;247;
1216055;"Radłów - rural area (5)";5900;915;134;818;
1216063;"Ryglice (3)";9621;1202;290;1555;
1216064;"Ryglice - urban area (4)";2375;344;70;307;
1216065;"Ryglice - rural area (5)";7246;858;220;1248;
1216072;"Rzepiennik Strzyżewski (2)";5575;668;164;909;
1216082;"Skrzyszów (2)";11982;2179;379;1431;
1216092;"Tarnów (2)";22361;5454;621;2040;
1216103;"Tuchów (3)";14897;2347;462;2118;
1216104;"Tuchów - urban area (4)";5502;1187;169;579;
1216105;"Tuchów - rural area (5)";9395;1160;293;1539;
1216112;"Wierzchosławice (2)";9190;1733;214;934;
1216122;"Wietrzychowice (2)";3405;394;110;567;
1216133;"Wojnicz (3)";11256;1987;273;1222;
1216134;"Wojnicz - urban area (4)";2730;655;61;199;
1216135;"Wojnicz - rural area (5)";8526;1332;212;1023;
1216143;"Zakliczyn (3)";10403;1462;295;1412;
1216144;"Zakliczyn - urban area (4)";1358;309;35;112;
1216145;"Zakliczyn - rural area (5)";9045;1153;260;1300;
1216153;"Żabno (3)";16230;2810;375;1817;
1216154;"Żabno - urban area (4)";3688;805;76;316;
