"Code";"Name";"at post-working age;2023;[%]";
0609132;"Wojciechów (2)";22.5;
0609142;"Wólka (2)";15.0;
0609152;"Wysokie (2)";28.7;
0609162;"Zakrzew (2)";27.8;
0610012;"Cyców (2)";19.4;
0610022;"Ludwin (2)";18.1;
0610033;"Łęczna (3)";21.7;
0610034;"Łęczna - urban area (4)";22.8;
0610035;"Łęczna - rural area (5)";17.7;
0610042;"Milejów (2)";24.0;
0610052;"Puchaczów (2)";18.9;
0610062;"Spiczyn (2)";19.5;
0611011;"Łuków (1)";26.7;
0611021;"Stoczek Łukowski (1)";27.6;
0611032;"Adamów (2)";22.4;
0611042;"Krzywda (2)";18.9;
0611052;"Łuków (2)";16.3;
0611062;"Serokomla (2)";22.2;
0611072;"Stanin (2)";19.5;
0611082;"Stoczek Łukowski (2)";21.8;
0611092;"Trzebieszów (2)";20.3;
0611102;"Wojcieszków (2)";21.0;
0611112;"Wola Mysłowska (2)";23.1;
0612012;"Chodel (2)";20.6;
0612023;"Józefów nad Wisłą (3)";26.3;
0612024;"Józefów nad Wisłą - urban area (4)";30.6;
0612025;"Józefów nad Wisłą - rural area (5)";25.7;
0612032;"Karczmiska (2)";23.1;
0612042;"Łaziska (2)";25.2;
0612053;"Opole Lubelskie (3)";24.4;
0612054;"Opole Lubelskie - urban area (4)";27.5;
0612055;"Opole Lubelskie - rural area (5)";21.5;
0612063;"Poniatowa (3)";28.1;
0612064;"Poniatowa - urban area (4)";31.4;
0612065;"Poniatowa - rural area (5)";22.5;
0612072;"Wilków (2)";24.8;
0613012;"Dębowa Kłoda (2)";22.9;
0613022;"Jabłoń (2)";24.1;
0613032;"Milanów (2)";22.5;
0613043;"Parczew (3)";25.0;
0613044;"Parczew - urban area (4)";25.5;
0613045;"Parczew - rural area (5)";23.4;
0613052;"Podedwórze (2)";27.8;
0613062;"Siemień (2)";24.3;
0613072;"Sosnowica (2)";28.9;
0614011;"Puławy (1)";30.5;
0614022;"Baranów (2)";25.2;
0614032;"Janowiec (2)";24.5;
0614043;"Kazimierz Dolny (3)";27.0;
0614044;"Kazimierz Dolny - urban area (4)";27.0;
0614045;"Kazimierz Dolny - rural area (5)";27.1;
0614052;"Końskowola (2)";24.3;
0614062;"Kurów (2)";24.9;
0614072;"Markuszów (2)";23.7;
0614083;"Nałęczów (3)";27.7;
0614084;"Nałęczów - urban area (4)";32.8;
0614085;"Nałęczów - rural area (5)";24.0;
0614092;"Puławy (2)";22.9;
0614102;"Wąwolnica (2)";22.4;
0614112;"Żyrzyn (2)";24.4;
0615011;"Radzyń Podlaski (1)";27.1;
0615022;"Borki (2)";20.8;
0615032;"Czemierniki (2)";23.8;
0615042;"Kąkolewnica (2)";20.4;
0615052;"Komarówka Podlaska (2)";26.0;
0615062;"Radzyń Podlaski (2)";20.0;
0615072;"Ulan-Majorat (2)";20.1;
0615082;"Wohyń (2)";24.6;
0616011;"Dęblin (1)";28.9;
0616022;"Kłoczew (2)";21.2;
0616032;"Nowodwór (2)";20.9;
0616043;"Ryki (3)";25.5;
0616044;"Ryki - urban area (4)";29.6;
0616045;"Ryki - rural area (5)";21.8;
0616052;"Stężyca (2)";26.8;
0616062;"Ułęż (2)";26.8;
0617011;"Świdnik (1)";28.2;
0617022;"Mełgiew (2)";19.9;
0617033;"Piaski (3)";24.6;
0617034;"Piaski - urban area (4)";27.3;
0617035;"Piaski - rural area (5)";23.7;
0617042;"Rybczewice (2)";29.1;
0617052;"Trawniki (2)";22.6;
0618011;"Tomaszów Lubelski (1)";29.2;
0618022;"Bełżec (2)";21.8;
0618032;"Jarczów (2)";25.4;
0618042;"Krynice (2)";27.5;
0618053;"Lubycza Królewska (3)";23.5;
0618054;"Lubycza Królewska - urban area (4)";21.3;
0618055;"Lubycza Królewska - rural area (5)";24.9;
0618063;"Łaszczów (3)";27.3;
0618064;"Łaszczów - urban area (4)";27.6;
0618065;"Łaszczów - rural area (5)";27.1;
0618072;"Rachanie (2)";27.2;
0618082;"Susiec (2)";23.7;
0618092;"Tarnawatka (2)";22.0;
0618102;"Telatyn (2)";27.1;
0618112;"Tomaszów Lubelski (2)";19.6;
0618123;"Tyszowce (3)";26.4;
0618124;"Tyszowce - urban area (4)";25.3;
0618125;"Tyszowce - rural area (5)";27.1;
0618132;"Ulhówek (2)";26.3;
0619011;"Włodawa (1)";28.2;
0619022;"Hanna (2)";26.2;
0619032;"Hańsk (2)";23.0;
0619042;"Stary Brus (2)";25.3;
0619052;"Urszulin (2)";21.2;
0619062;"Włodawa (2)";23.0;
0619072;"Wola Uhruska (2)";26.5;
0619082;"Wyryki (2)";25.0;
0620012;"Adamów (2)";23.2;
0620022;"Grabowiec (2)";29.5;
0620032;"Komarów-Osada (2)";26.2;
0620043;"Krasnobród (3)";23.4;
0620044;"Krasnobród - urban area (4)";24.6;
0620045;"Krasnobród - rural area (5)";22.4;
0620052;"Łabunie (2)";21.6;
0620062;"Miączyn (2)";23.6;
0620072;"Nielisz (2)";25.5;
0620082;"Radecznica (2)";29.9;
0620092;"Sitno (2)";22.4;
0620102;"Skierbieszów (2)";26.4;
0620112;"Stary Zamość (2)";23.9;
0620122;"Sułów (2)";27.8;
0620133;"Szczebrzeszyn (3)";25.6;
0620134;"Szczebrzeszyn - urban area (4)";27.2;
0620135;"Szczebrzeszyn - rural area (5)";24.4;
0620142;"Zamość (2)";20.0;
0620153;"Zwierzyniec (3)";27.9;
0620154;"Zwierzyniec - urban area (4)";30.4;
0620155;"Zwierzyniec - rural area (5)";25.8;
0661011;"Biała Podlaska (1)";24.8;
0662011;"Chełm (1)";28.7;
0663011;"Lublin (1)";25.1;
0664011;"Zamość (1)";27.8;
0801011;"Kostrzyn nad Odrą (1)";21.7;
0801022;"Bogdaniec (2)";20.5;
0801032;"Deszczno (2)";16.8;
0801042;"Kłodawa (2)";18.2;
0801052;"Lubiszyn (2)";19.3;
0801062;"Santok (2)";17.7;
0801073;"Witnica (3)";21.5;
0801074;"Witnica - urban area (4)";22.6;
0801075;"Witnica - rural area (5)";20.3;
0802011;"Gubin (1)";24.9;
0802022;"Bobrowice (2)";23.7;
0802032;"Bytnica (2)";22.5;
0802042;"Dąbie (2)";20.8;
0802052;"Gubin (2)";19.6;
0802063;"Krosno Odrzańskie (3)";25.1;
0802064;"Krosno Odrzańskie - urban area (4)";27.5;
0802065;"Krosno Odrzańskie - rural area (5)";21.1;
0802072;"Maszewo (2)";21.3;
0803012;"Bledzew (2)";24.8;
0803023;"Międzyrzecz (3)";24.1;
0803024;"Międzyrzecz - urban area (4)";25.5;
0803025;"Międzyrzecz - rural area (5)";20.6;
0803032;"Przytoczna (2)";24.4;
0803042;"Pszczew (2)";23.0;
0803053;"Skwierzyna (3)";25.3;
0803054;"Skwierzyna - urban area (4)";25.7;
0803055;"Skwierzyna - rural area (5)";24.0;
0803063;"Trzciel (3)";23.1;
0803064;"Trzciel - urban area (4)";25.2;
0803065;"Trzciel - rural area (5)";21.9;
0804011;"Nowa Sól (1)";28.2;
0804023;"Bytom Odrzański (3)";22.9;
0804024;"Bytom Odrzański - urban area (4)";24.9;
0804025;"Bytom Odrzański - rural area (5)";16.0;
0804032;"Kolsko (2)";24.3;
0804043;"Kożuchów (3)";23.0;
0804044;"Kożuchów - urban area (4)";24.7;
0804045;"Kożuchów - rural area (5)";20.7;
0804052;"Nowa Sól (2)";20.4;
0804063;"Nowe Miasteczko (3)";22.3;
0804064;"Nowe Miasteczko - urban area (4)";23.9;
0804065;"Nowe Miasteczko - rural area (5)";20.6;
0804073;"Otyń (3)";19.1;
0804074;"Otyń - urban area (4)";17.3;
0804075;"Otyń - rural area (5)";19.7;
0804082;"Siedlisko (2)";20.4;
0805013;"Cybinka (3)";21.6;
0805014;"Cybinka - urban area (4)";22.1;
0805015;"Cybinka - rural area (5)";21.3;
0805022;"Górzyca (2)";19.4;
0805033;"Ośno Lubuskie (3)";20.7;
0805034;"Ośno Lubuskie - urban area (4)";21.2;
0805035;"Ośno Lubuskie - rural area (5)";19.9;
0805043;"Rzepin (3)";21.7;
0805044;"Rzepin - urban area (4)";23.5;
0805045;"Rzepin - rural area (5)";18.0;
0805053;"Słubice (3)";21.2;
0805054;"Słubice - urban area (4)";22.4;
0805055;"Słubice - rural area (5)";16.1;
0806013;"Dobiegniew (3)";25.6;
0806014;"Dobiegniew - urban area (4)";25.7;
0806015;"Dobiegniew - rural area (5)";25.4;
0806023;"Drezdenko (3)";23.9;
0806024;"Drezdenko - urban area (4)";26.4;
0806025;"Drezdenko - rural area (5)";20.4;
0806032;"Stare Kurowo (2)";21.5;
0806043;"Strzelce Krajeńskie (3)";24.7;
0806044;"Strzelce Krajeńskie - urban area (4)";26.1;
0806045;"Strzelce Krajeńskie - rural area (5)";22.5;
0806052;"Zwierzyn (2)";20.2;
0807012;"Krzeszyce (2)";21.1;
0807023;"Lubniewice (3)";24.2;
0807024;"Lubniewice - urban area (4)";25.6;
0807025;"Lubniewice - rural area (5)";21.6;
0807032;"Słońsk (2)";18.8;
0807043;"Sulęcin (3)";23.4;
0807044;"Sulęcin - urban area (4)";24.8;
0807045;"Sulęcin - rural area (5)";20.6;
0807053;"Torzym (3)";22.0;
0807054;"Torzym - urban area (4)";23.5;
0807055;"Torzym - rural area (5)";21.1;
0808012;"Lubrza (2)";19.3;
0808022;"Łagów (2)";24.3;
0808032;"Skąpe (2)";23.1;
0808042;"Szczaniec (2)";22.2;
0808053;"Świebodzin (3)";23.8;
0808054;"Świebodzin - urban area (4)";25.5;
0808055;"Świebodzin - rural area (5)";19.4;
0808063;"Zbąszynek (3)";22.8;
0808064;"Zbąszynek - urban area (4)";25.2;
0808065;"Zbąszynek - rural area (5)";19.1;
0809013;"Babimost (3)";22.9;
0809014;"Babimost - urban area (4)";23.7;
0809015;"Babimost - rural area (5)";21.5;
0809022;"Bojadła (2)";23.7;
0809033;"Czerwieńsk (3)";21.2;
0809034;"Czerwieńsk - urban area (4)";25.7;
0809035;"Czerwieńsk - rural area (5)";18.5;
0809043;"Kargowa (3)";21.4;
0809044;"Kargowa - urban area (4)";21.4;
0809045;"Kargowa - rural area (5)";21.3;
0809053;"Nowogród Bobrzański (3)";22.0;
0809054;"Nowogród Bobrzański - urban area (4)";25.1;
0809055;"Nowogród Bobrzański - rural area (5)";18.5;
0809063;"Sulechów (3)";23.5;
0809064;"Sulechów - urban area (4)";27.0;
0809065;"Sulechów - rural area (5)";18.4;
0809072;"Świdnica (2)";21.5;
0809082;"Trzebiechów (2)";22.4;
0809092;"Zabór (2)";18.5;
0810011;"Gozdnica (1)";28.2;
0810021;"Żagań (1)";27.4;
0810032;"Brzeźnica (2)";21.6;
0810043;"Iłowa (3)";25.4;
0810044;"Iłowa - urban area (4)";25.9;
0810045;"Iłowa - rural area (5)";24.6;
0810053;"Małomice (3)";23.6;
0810054;"Małomice - urban area (4)";24.4;
0810055;"Małomice - rural area (5)";21.9;
0810062;"Niegosławice (2)";21.7;
0810073;"Szprotawa (3)";25.0;
0810074;"Szprotawa - urban area (4)";28.6;
0810075;"Szprotawa - rural area (5)";20.5;
0810082;"Wymiarki (2)";24.5;
0810092;"Żagań (2)";19.4;
0811011;"Łęknica (1)";20.1;
0811021;"Żary (1)";26.6;
0811032;"Brody (2)";21.7;
0811043;"Jasień (3)";23.0;
0811044;"Jasień - urban area (4)";25.1;
0811045;"Jasień - rural area (5)";19.8;
0811052;"Lipinki Łużyckie (2)";19.4;
0811063;"Lubsko (3)";24.9;
0811064;"Lubsko - urban area (4)";26.4;
0811065;"Lubsko - rural area (5)";20.6;
0811072;"Przewóz (2)";20.5;
0811082;"Trzebiel (2)";22.9;
0811092;"Tuplice (2)";24.1;
0811102;"Żary (2)";19.1;
0812013;"Sława (3)";23.2;
0812014;"Sława - urban area (4)";27.0;
0812015;"Sława - rural area (5)";21.3;
0812023;"Szlichtyngowa (3)";20.4;
0812024;"Szlichtyngowa - urban area (4)";21.6;
0812025;"Szlichtyngowa - rural area (5)";19.9;
0812033;"Wschowa (3)";23.3;
0812034;"Wschowa - urban area (4)";25.3;
0812035;"Wschowa - rural area (5)";19.6;
0861011;"Gorzów Wielkopolski (1)";26.6;
0862011;"Zielona Góra (1)";24.9;
1001011;"Bełchatów (1)";26.2;
1001022;"Bełchatów (2)";19.3;
1001032;"Drużbice (2)";22.6;
1001042;"Kleszczów (2)";14.1;
1001052;"Kluki (2)";20.4;
1001062;"Rusiec (2)";24.9;
1001072;"Szczerców (2)";21.2;
1001083;"Zelów (3)";24.2;
1001084;"Zelów - urban area (4)";26.4;
1001085;"Zelów - rural area (5)";22.1;
1002011;"Kutno (1)";30.2;
1002022;"Bedlno (2)";25.9;
1002033;"Dąbrowice (3)";23.7;
1002034;"Dąbrowice - urban area (4)";23.6;
1002035;"Dąbrowice - rural area (5)";23.8;
1002043;"Krośniewice (3)";26.0;
1002044;"Krośniewice - urban area (4)";27.8;
1002045;"Krośniewice - rural area (5)";24.1;
1002052;"Krzyżanów (2)";23.1;
1002062;"Kutno (2)";20.6;
1002072;"Łanięta (2)";20.8;
1002082;"Nowe Ostrowy (2)";25.3;
1002092;"Oporów (2)";23.1;
1002102;"Strzelce (2)";23.4;
1002113;"Żychlin (3)";28.8;
1002114;"Żychlin - urban area (4)";30.0;
1002115;"Żychlin - rural area (5)";26.2;
1003012;"Buczek (2)";22.3;
1003023;"Łask (3)";25.6;
1003024;"Łask - urban area (4)";28.9;
1003025;"Łask - rural area (5)";20.6;
1003032;"Sędziejowice (2)";23.5;
1003042;"Widawa (2)";26.0;
1003052;"Wodzierady (2)";22.2;
1004011;"Łęczyca (1)";28.5;
1004022;"Daszyna (2)";25.8;
1004032;"Góra Świętej Małgorzaty (2)";23.7;
1004042;"Grabów (2)";27.7;
1004052;"Łęczyca (2)";23.3;
1004063;"Piątek (3)";25.5;
1004064;"Piątek - urban area (4)";31.0;
1004065;"Piątek - rural area (5)";23.3;
1004072;"Świnice Warckie (2)";25.2;
1004082;"Witonia (2)";26.3;
1005011;"Łowicz (1)";28.3;
1005022;"Bielawy (2)";26.6;
1005032;"Chąśno (2)";22.9;
1005042;"Domaniewice (2)";22.5;
1005052;"Kiernozia (2)";26.3;
1005062;"Kocierzew Południowy (2)";23.5;
1005072;"Łowicz (2)";19.8;
1005082;"Łyszkowice (2)";21.8;
1005092;"Nieborów (2)";22.8;
1005102;"Zduny (2)";26.6;
1006022;"Andrespol (2)";23.7;
1006032;"Brójce (2)";18.5;
1006073;"Koluszki (3)";24.9;
1006074;"Koluszki - urban area (4)";27.6;
1006075;"Koluszki - rural area (5)";21.9;
1006082;"Nowosolna (2)";20.1;
1006103;"Rzgów (3)";20.8;
1006104;"Rzgów - urban area (4)";23.3;
1006105;"Rzgów - rural area (5)";19.7;
1006113;"Tuszyn (3)";22.8;
1006114;"Tuszyn - urban area (4)";24.3;
1006115;"Tuszyn - rural area (5)";20.8;
1007012;"Białaczów (2)";22.0;
1007023;"Drzewica (3)";25.7;
1007024;"Drzewica - urban area (4)";28.4;
1007025;"Drzewica - rural area (5)";24.2;
1007032;"Mniszków (2)";21.8;
1007043;"Opoczno (3)";24.1;
1007044;"Opoczno - urban area (4)";27.0;
1007045;"Opoczno - rural area (5)";19.9;
1007052;"Paradyż (2)";20.5;
1007062;"Poświętne (2)";25.9;
1007072;"Sławno (2)";19.8;
1007082;"Żarnów (2)";25.8;
1008011;"Konstantynów Łódzki (1)";24.8;
1008021;"Pabianice (1)";28.9;
1008032;"Dłutów (2)";23.4;
1008042;"Dobroń (2)";21.6;
1008052;"Ksawerów (2)";24.2;
1008063;"Lutomiersk (3)";21.4;
1008064;"Lutomiersk - urban area (4)";20.5;
1008065;"Lutomiersk - rural area (5)";21.6;
1008072;"Pabianice (2)";16.8;
1009013;"Działoszyn (3)";24.0;
1009014;"Działoszyn - urban area (4)";27.2;
1009015;"Działoszyn - rural area (5)";21.3;
1009022;"Kiełczygłów (2)";25.3;
1009032;"Nowa Brzeźnica (2)";24.7;
1009043;"Pajęczno (3)";25.2;
1009044;"Pajęczno - urban area (4)";27.6;
1009045;"Pajęczno - rural area (5)";22.0;
1009052;"Rząśnia (2)";20.7;
1009062;"Siemkowice (2)";23.5;
1009072;"Strzelce Wielkie (2)";24.6;
1009082;"Sulmierzyce (2)";25.0;
1010012;"Aleksandrów (2)";25.8;
1010022;"Czarnocin (2)";23.5;
1010032;"Gorzkowice (2)";22.6;
1010042;"Grabica (2)";20.6;
1010052;"Łęki Szlacheckie (2)";24.6;
1010062;"Moszczenica (2)";21.6;
1010072;"Ręczno (2)";26.0;
1010083;"Rozprza (3)";20.9;
1010084;"Rozprza - urban area (4)";20.5;
1010085;"Rozprza - rural area (5)";20.9;
1010093;"Sulejów (3)";22.0;
1010094;"Sulejów - urban area (4)";24.4;
1010095;"Sulejów - rural area (5)";20.6;
1010102;"Wola Krzysztoporska (2)";20.4;
1010113;"Wolbórz (3)";22.9;
1010114;"Wolbórz - urban area (4)";24.5;
1010115;"Wolbórz - rural area (5)";22.2;
1011012;"Dalików (2)";22.7;
1011022;"Pęczniew (2)";25.1;
1011033;"Poddębice (3)";25.5;
1011034;"Poddębice - urban area (4)";26.8;
1011035;"Poddębice - rural area (5)";24.4;
1011043;"Uniejów (3)";26.4;
1011044;"Uniejów - urban area (4)";26.9;
1011045;"Uniejów - rural area (5)";26.1;
1011052;"Wartkowice (2)";23.4;
1011062;"Zadzim (2)";26.3;
1012011;"Radomsko (1)";27.7;
1012022;"Dobryszyce (2)";18.5;
1012032;"Gidle (2)";25.9;
1012042;"Gomunice (2)";23.7;
1012053;"Kamieńsk (3)";23.0;
1012054;"Kamieńsk - urban area (4)";24.5;
1012055;"Kamieńsk - rural area (5)";21.7;
1012062;"Kobiele Wielkie (2)";22.9;
1012072;"Kodrąb (2)";23.5;
1012082;"Lgota Wielka (2)";21.0;
1012092;"Ładzice (2)";22.1;
1012102;"Masłowice (2)";25.8;
1012113;"Przedbórz (3)";25.8;
1012114;"Przedbórz - urban area (4)";27.1;
1012115;"Przedbórz - rural area (5)";24.6;
1012122;"Radomsko (2)";21.9;
1012132;"Wielgomłyny (2)";23.4;
1012142;"Żytno (2)";29.1;
1013011;"Rawa Mazowiecka (1)";27.6;
1013023;"Biała Rawska (3)";23.4;
1013024;"Biała Rawska - urban area (4)";23.2;
1013025;"Biała Rawska - rural area (5)";23.5;
1013032;"Cielądz (2)";21.7;
1013042;"Rawa Mazowiecka (2)";20.6;
1013052;"Regnów (2)";21.3;
1013062;"Sadkowice (2)";24.7;
1014011;"Sieradz (1)";27.6;
1014023;"Błaszki (3)";22.6;
1014024;"Błaszki - urban area (4)";27.6;
1014025;"Błaszki - rural area (5)";21.8;
1014032;"Brąszewice (2)";18.6;
1014042;"Brzeźnio (2)";21.8;
1014052;"Burzenin (2)";24.1;
1014062;"Goszczanów (2)";22.5;
1014072;"Klonowa (2)";22.0;
1014082;"Sieradz (2)";20.0;
1014093;"Warta (3)";24.8;
1014094;"Warta - urban area (4)";27.0;
1014095;"Warta - rural area (5)";24.1;
1014102;"Wróblew (2)";23.7;
1014113;"Złoczew (3)";22.1;
1014114;"Złoczew - urban area (4)";22.6;
1014115;"Złoczew - rural area (5)";21.5;
1015013;"Bolimów (3)";23.9;
1015014;"Bolimów - urban area (4)";23.2;
1015015;"Bolimów - rural area (5)";24.1;
1015022;"Głuchów (2)";22.9;
1015032;"Godzianów (2)";22.8;
1015042;"Kowiesy (2)";24.7;
1015052;"Lipce Reymontowskie (2)";24.6;
1015062;"Maków (2)";21.1;
1015072;"Nowy Kawęczyn (2)";22.2;
1015082;"Skierniewice (2)";19.2;
1015092;"Słupia (2)";22.8;
1016011;"Tomaszów Mazowiecki (1)";28.2;
1016022;"Będków (2)";24.1;
1016032;"Budziszewice (2)";21.4;
1016042;"Czerniewice (2)";22.3;
1016052;"Inowłódz (2)";28.3;
1016062;"Lubochnia (2)";20.1;
1016072;"Rokiciny (2)";23.9;
1016082;"Rzeczyca (2)";23.9;
1016092;"Tomaszów Mazowiecki (2)";20.4;
1016103;"Ujazd (3)";24.6;
1016104;"Ujazd - urban area (4)";24.3;
1016105;"Ujazd - rural area (5)";24.7;
1016112;"Żelechlinek (2)";23.1;
1017012;"Biała (2)";21.7;
1017022;"Czarnożyły (2)";22.1;
1017032;"Konopnica (2)";26.6;
1017042;"Mokrsko (2)";22.2;
1017052;"Osjaków (2)";22.8;
1017062;"Ostrówek (2)";23.1;
1017072;"Pątnów (2)";22.4;
1017082;"Skomlin (2)";22.1;
1017093;"Wieluń (3)";27.4;
1017094;"Wieluń - urban area (4)";30.0;
1017095;"Wieluń - rural area (5)";21.6;
1017102;"Wierzchlas (2)";22.7;
1018012;"Bolesławiec (2)";23.2;
1018022;"Czastary (2)";21.1;
1018032;"Galewice (2)";20.8;
1018043;"Lututów (3)";22.4;
1018044;"Lututów - urban area (4)";22.3;
1018045;"Lututów - rural area (5)";22.5;
1018052;"Łubnice (2)";22.8;
1018062;"Sokolniki (2)";20.9;
1018073;"Wieruszów (3)";23.2;
1018074;"Wieruszów - urban area (4)";26.4;
1018075;"Wieruszów - rural area (5)";18.5;
1019011;"Zduńska Wola (1)";27.4;
1019023;"Szadek (3)";23.8;
1019024;"Szadek - urban area (4)";25.8;
1019025;"Szadek - rural area (5)";23.2;
1019032;"Zapolice (2)";19.5;
1019042;"Zduńska Wola (2)";18.7;
1020011;"Głowno (1)";29.1;
1020021;"Ozorków (1)";26.6;
1020031;"Zgierz (1)";27.4;
1020043;"Aleksandrów Łódzki (3)";21.3;
1020044;"Aleksandrów Łódzki - urban area (4)";24.5;
1020045;"Aleksandrów Łódzki - rural area (5)";16.0;
1020052;"Głowno (2)";22.6;
1020062;"Ozorków (2)";23.5;
1020072;"Parzęczew (2)";21.4;
1020083;"Stryków (3)";23.2;
1020084;"Stryków - urban area (4)";25.3;
1020085;"Stryków - rural area (5)";22.5;
1020092;"Zgierz (2)";22.5;
1021011;"Brzeziny (1)";25.7;
1021022;"Brzeziny (2)";20.1;
1021032;"Dmosin (2)";25.0;
1021043;"Jeżów (3)";24.1;
1021044;"Jeżów - urban area (4)";23.4;
1021045;"Jeżów - rural area (5)";24.6;
1021052;"Rogów (2)";23.3;
1061011;"Łódź (1)";28.9;
1062011;"Piotrków Trybunalski (1)";27.5;
1063011;"Skierniewice (1)";26.7;
1201011;"Bochnia (1)";24.7;
1201022;"Bochnia (2)";19.0;
1201032;"Drwinia (2)";22.9;
1201042;"Lipnica Murowana (2)";17.9;
1201052;"Łapanów (2)";16.8;
1201063;"Nowy Wiśnicz (3)";17.9;
1201064;"Nowy Wiśnicz - urban area (4)";21.3;
1201065;"Nowy Wiśnicz - rural area (5)";17.1;
1201072;"Rzezawa (2)";18.2;
1201082;"Trzciana (2)";17.5;
1201092;"Żegocina (2)";18.3;
1202012;"Borzęcin (2)";20.7;
1202023;"Brzesko (3)";21.6;
1202024;"Brzesko - urban area (4)";25.5;
1202025;"Brzesko - rural area (5)";18.5;
1202033;"Czchów (3)";19.2;
1202034;"Czchów - urban area (4)";21.0;
1202035;"Czchów - rural area (5)";18.7;
1202042;"Dębno (2)";19.5;
1202052;"Gnojnik (2)";18.1;
1202062;"Iwkowa (2)";18.2;
1202072;"Szczurowa (2)";21.8;
1203013;"Alwernia (3)";23.8;
1203014;"Alwernia - urban area (4)";26.0;
1203015;"Alwernia - rural area (5)";23.0;
1203022;"Babice (2)";23.1;
1203033;"Chrzanów (3)";28.5;
1203034;"Chrzanów - urban area (4)";29.4;
1203035;"Chrzanów - rural area (5)";25.4;
1203043;"Libiąż (3)";24.6;
1203044;"Libiąż - urban area (4)";25.2;
1203045;"Libiąż - rural area (5)";22.5;
1203053;"Trzebinia (3)";25.9;
1203054;"Trzebinia - urban area (4)";26.5;
1203055;"Trzebinia - rural area (5)";25.1;
1204012;"Bolesław (2)";21.3;
1204023;"Dąbrowa Tarnowska (3)";21.1;
1204024;"Dąbrowa Tarnowska - urban area (4)";23.5;
1204025;"Dąbrowa Tarnowska - rural area (5)";18.2;
1204032;"Gręboszów (2)";26.6;
1204042;"Mędrzechów (2)";22.8;
1204052;"Olesno (2)";20.2;
1204062;"Radgoszcz (2)";18.2;
1204073;"Szczucin (3)";19.9;
1204074;"Szczucin - urban area (4)";21.0;
1204075;"Szczucin - rural area (5)";19.3;
1205011;"Gorlice (1)";29.2;
1205023;"Biecz (3)";22.7;
1205024;"Biecz - urban area (4)";26.8;
1205025;"Biecz - rural area (5)";21.2;
1205033;"Bobowa (3)";17.0;
1205034;"Bobowa - urban area (4)";18.2;
1205035;"Bobowa - rural area (5)";16.5;
1205042;"Gorlice (2)";20.6;
1205052;"Lipinki (2)";20.9;
1205062;"Łużna (2)";18.3;
1205072;"Moszczenica (2)";17.7;
1205082;"Ropa (2)";17.2;
1205092;"Sękowa (2)";20.6;
1205102;"Uście Gorlickie (2)";18.0;
1206012;"Czernichów (2)";19.4;
1206022;"Igołomia-Wawrzeńczyce (2)";22.6;
1206032;"Iwanowice (2)";19.8;
1206042;"Jerzmanowice-Przeginia (2)";21.0;
1206052;"Kocmyrzów-Luborzyca (2)";18.0;
1206063;"Krzeszowice (3)";24.8;
1206064;"Krzeszowice - urban area (4)";27.6;
1206065;"Krzeszowice - rural area (5)";23.6;
1206072;"Liszki (2)";19.0;
1206082;"Michałowice (2)";16.2;
1206092;"Mogilany (2)";16.4;
1206103;"Skała (3)";21.3;
1206104;"Skała - urban area (4)";21.9;
1206105;"Skała - rural area (5)";20.9;
1206113;"Skawina (3)";22.0;
1206114;"Skawina - urban area (4)";24.4;
1206115;"Skawina - rural area (5)";19.1;
1206123;"Słomniki (3)";22.7;
1206124;"Słomniki - urban area (4)";25.1;
1206125;"Słomniki - rural area (5)";21.7;
1206132;"Sułoszowa (2)";22.3;
1206143;"Świątniki Górne (3)";18.7;
1206144;"Świątniki Górne - urban area (4)";21.9;
1206145;"Świątniki Górne - rural area (5)";17.8;
1206152;"Wielka Wieś (2)";15.5;
1206162;"Zabierzów (2)";20.9;
1206172;"Zielonki (2)";16.0;
1207011;"Limanowa (1)";23.0;
1207021;"Mszana Dolna (1)";21.3;
1207032;"Dobra (2)";18.2;
1207042;"Jodłownik (2)";18.0;
1207052;"Kamienica (2)";16.5;
1207062;"Laskowa (2)";16.5;
1207072;"Limanowa (2)";15.8;
1207082;"Łukowica (2)";16.4;
1207092;"Mszana Dolna (2)";16.4;
1207102;"Niedźwiedź (2)";15.9;
1207112;"Słopnice (2)";13.0;
1207122;"Tymbark (2)";17.7;
1208012;"Charsznica (2)";26.8;
1208022;"Gołcza (2)";23.9;
1208032;"Kozłów (2)";26.1;
1208043;"Książ Wielki (3)";28.6;
1208044;"Książ Wielki - urban area (4)";29.9;
1208045;"Książ Wielki - rural area (5)";28.3;
1208053;"Miechów (3)";26.5;
1208054;"Miechów - urban area (4)";28.6;
1208055;"Miechów - rural area (5)";23.7;
1208062;"Racławice (2)";24.3;
1208072;"Słaboszów (2)";27.9;
1209013;"Dobczyce (3)";19.0;
1209014;"Dobczyce - urban area (4)";21.7;
1209015;"Dobczyce - rural area (5)";17.2;
1209022;"Lubień (2)";17.9;
1209033;"Myślenice (3)";19.8;
1209034;"Myślenice - urban area (4)";24.0;
1209035;"Myślenice - rural area (5)";17.0;
1209042;"Pcim (2)";18.8;
1209052;"Raciechowice (2)";19.1;
1209062;"Siepraw (2)";17.2;
1209073;"Sułkowice (3)";18.5;
1209074;"Sułkowice - urban area (4)";19.2;
1209075;"Sułkowice - rural area (5)";18.0;
1209082;"Tokarnia (2)";16.7;
1209092;"Wiśniowa (2)";18.5;
1210011;"Grybów (1)";22.2;
1210022;"Chełmiec (2)";15.4;
1210032;"Gródek nad Dunajcem (2)";17.7;
