"Code";"Name";"total;place of residence;as of 30 June;total;2024;[person]";"in urban areas;place of residence;as of 30 June;total;2024;[person]";"in rural areas;place of residence;as of 30 June;total;2024;[person]";
0806000;"Powiat strzelecko-drezdenecki - URBAN-RURAL GMINAS";38424;22053;16371;
0806013;"Dobiegniew (3)";6126;2970;3156;
0806014;"Dobiegniew - urban area (4)";2970;2970;0;
0806015;"Dobiegniew - rural area (5)";3156;0;3156;
0806023;"Drezdenko (3)";16246;9400;6846;
0806024;"Drezdenko - urban area (4)";9400;9400;0;
0806025;"Drezdenko - rural area (5)";6846;0;6846;
0806032;"Stare Kurowo (2)";3902;0;3902;
0806043;"Strzelce Krajeńskie (3)";16052;9683;6369;
0806044;"Strzelce Krajeńskie - urban area (4)";9683;9683;0;
0806045;"Strzelce Krajeńskie - rural area (5)";6369;0;6369;
0806052;"Zwierzyn (2)";4120;0;4120;
0807000;"Powiat sulęciński";33358;14051;19307;
0807000;"Powiat sulęciński - URBAN-RURAL GMINAS";24190;14051;10139;
0807012;"Krzeszyce (2)";4581;0;4581;
0807023;"Lubniewice (3)";3028;1999;1029;
0807024;"Lubniewice - urban area (4)";1999;1999;0;
0807025;"Lubniewice - rural area (5)";1029;0;1029;
0807032;"Słońsk (2)";4587;0;4587;
0807043;"Sulęcin (3)";14971;9675;5296;
0807044;"Sulęcin - urban area (4)";9675;9675;0;
0807045;"Sulęcin - rural area (5)";5296;0;5296;
0807053;"Torzym (3)";6191;2377;3814;
0807054;"Torzym - urban area (4)";2377;2377;0;
0807055;"Torzym - rural area (5)";3814;0;3814;
0808000;"Powiat świebodziński";53851;25605;28246;
0808000;"Powiat świebodziński - URBAN-RURAL GMINAS";36949;25605;11344;
0808012;"Lubrza (2)";3580;0;3580;
0808022;"Łagów (2)";4701;0;4701;
0808032;"Skąpe (2)";4992;0;4992;
0808042;"Szczaniec (2)";3629;0;3629;
0808053;"Świebodzin (3)";28909;20744;8165;
0808054;"Świebodzin - urban area (4)";20744;20744;0;
0808055;"Świebodzin - rural area (5)";8165;0;8165;
0808063;"Zbąszynek (3)";8040;4861;3179;
0808064;"Zbąszynek - urban area (4)";4861;4861;0;
0808065;"Zbąszynek - rural area (5)";3179;0;3179;
0809000;"Powiat zielonogórski";74980;31510;43470;
0809000;"Powiat zielonogórski - URBAN-RURAL GMINAS";57028;31510;25518;
0809013;"Babimost (3)";6057;3805;2252;
0809014;"Babimost - urban area (4)";3805;3805;0;
0809015;"Babimost - rural area (5)";2252;0;2252;
0809022;"Bojadła (2)";3137;0;3137;
0809033;"Czerwieńsk (3)";10153;3747;6406;
0809034;"Czerwieńsk - urban area (4)";3747;3747;0;
0809035;"Czerwieńsk - rural area (5)";6406;0;6406;
0809043;"Kargowa (3)";5925;3834;2091;
0809044;"Kargowa - urban area (4)";3834;3834;0;
0809045;"Kargowa - rural area (5)";2091;0;2091;
0809053;"Nowogród Bobrzański (3)";8950;4736;4214;
0809054;"Nowogród Bobrzański - urban area (4)";4736;4736;0;
0809055;"Nowogród Bobrzański - rural area (5)";4214;0;4214;
0809063;"Sulechów (3)";25943;15388;10555;
0809064;"Sulechów - urban area (4)";15388;15388;0;
0809065;"Sulechów - rural area (5)";10555;0;10555;
0809072;"Świdnica (2)";6918;0;6918;
0809082;"Trzebiechów (2)";3114;0;3114;
0809092;"Zabór (2)";4783;0;4783;
0810000;"Powiat żagański";73213;43409;29804;
0810000;"Powiat żagański - URBAN GMINAS";25975;25975;0;
0810000;"Powiat żagański - URBAN-RURAL GMINAS";30328;17434;12894;
0810011;"Gozdnica (1)";2692;2692;0;
0810021;"Żagań (1)";23283;23283;0;
0810032;"Brzeźnica (2)";3428;0;3428;
0810043;"Iłowa (3)";6324;3578;2746;
0810044;"Iłowa - urban area (4)";3578;3578;0;
0810045;"Iłowa - rural area (5)";2746;0;2746;
0810053;"Małomice (3)";5158;3402;1756;
0810054;"Małomice - urban area (4)";3402;3402;0;
0810055;"Małomice - rural area (5)";1756;0;1756;
0810062;"Niegosławice (2)";4253;0;4253;
0810073;"Szprotawa (3)";18846;10454;8392;
0810074;"Szprotawa - urban area (4)";10454;10454;0;
0810075;"Szprotawa - rural area (5)";8392;0;8392;
0810082;"Wymiarki (2)";2067;0;2067;
0810092;"Żagań (2)";7162;0;7162;
0811000;"Powiat żarski";90782;54435;36347;
0811000;"Powiat żarski - URBAN GMINAS";36808;36808;0;
0811000;"Powiat żarski - URBAN-RURAL GMINAS";26919;17627;9292;
0811011;"Łęknica (1)";2217;2217;0;
0811021;"Żary (1)";34591;34591;0;
0811033;"Brody (3)";3109;839;2270;
0811034;"Brody - urban area (4)";839;839;0;
0811035;"Brody - rural area (5)";2270;0;2270;
0811043;"Jasień (3)";6662;4008;2654;
0811044;"Jasień - urban area (4)";4008;4008;0;
0811045;"Jasień - rural area (5)";2654;0;2654;
0811052;"Lipinki Łużyckie (2)";3231;0;3231;
0811063;"Lubsko (3)";17148;12780;4368;
0811064;"Lubsko - urban area (4)";12780;12780;0;
0811065;"Lubsko - rural area (5)";4368;0;4368;
0811072;"Przewóz (2)";3003;0;3003;
0811082;"Trzebiel (2)";5435;0;5435;
0811092;"Tuplice (2)";2864;0;2864;
0811102;"Żary (2)";12522;0;12522;
0812000;"Powiat wschowski";37136;18250;18886;
0812000;"Powiat wschowski - URBAN-RURAL GMINAS";37136;18250;18886;
0812013;"Sława (3)";12414;4103;8311;
0812014;"Sława - urban area (4)";4103;4103;0;
0812015;"Sława - rural area (5)";8311;0;8311;
0812023;"Szlichtyngowa (3)";4802;1244;3558;
0812024;"Szlichtyngowa - urban area (4)";1244;1244;0;
0812025;"Szlichtyngowa - rural area (5)";3558;0;3558;
0812033;"Wschowa (3)";19920;12903;7017;
0812034;"Wschowa - urban area (4)";12903;12903;0;
0812035;"Wschowa - rural area (5)";7017;0;7017;
0861000;"City with powiat status Gorzów Wielkopolski";114567;114567;0;
0861000;"City with powiat status Gorzów Wielkopolski - URBAN GMINAS";114567;114567;0;
0861011;"Gorzów Wielkopolski (1)";114567;114567;0;
0862000;"City with powiat status Zielona Góra";138887;138887;0;
0862000;"City with powiat status Zielona Góra - URBAN GMINAS";138887;138887;0;
0862011;"Zielona Góra (1)";138887;138887;0;
1001000;"Powiat bełchatowski";108311;58926;49385;
1001000;"Powiat bełchatowski - URBAN GMINAS";51943;51943;0;
1001000;"Powiat bełchatowski - URBAN-RURAL GMINAS";14307;6983;7324;
1001011;"Bełchatów (1)";51943;51943;0;
1001022;"Bełchatów (2)";13224;0;13224;
1001032;"Drużbice (2)";5277;0;5277;
1001042;"Kleszczów (2)";6346;0;6346;
1001052;"Kluki (2)";4314;0;4314;
1001062;"Rusiec (2)";4760;0;4760;
1001072;"Szczerców (2)";8140;0;8140;
1001083;"Zelów (3)";14307;6983;7324;
1001084;"Zelów - urban area (4)";6983;6983;0;
1001085;"Zelów - rural area (5)";7324;0;7324;
1002000;"Powiat kutnowski";90128;52829;37299;
1002000;"Powiat kutnowski - URBAN GMINAS";40484;40484;0;
1002000;"Powiat kutnowski - URBAN-RURAL GMINAS";20227;12345;7882;
1002011;"Kutno (1)";40484;40484;0;
1002022;"Bedlno (2)";5025;0;5025;
1002033;"Dąbrowice (3)";1775;961;814;
1002034;"Dąbrowice - urban area (4)";961;961;0;
1002035;"Dąbrowice - rural area (5)";814;0;814;
1002043;"Krośniewice (3)";7655;3949;3706;
1002044;"Krośniewice - urban area (4)";3949;3949;0;
1002045;"Krośniewice - rural area (5)";3706;0;3706;
1002052;"Krzyżanów (2)";3993;0;3993;
1002062;"Kutno (2)";8938;0;8938;
1002072;"Łanięta (2)";2173;0;2173;
1002082;"Nowe Ostrowy (2)";3180;0;3180;
1002092;"Oporów (2)";2404;0;2404;
1002102;"Strzelce (2)";3704;0;3704;
1002113;"Żychlin (3)";10797;7435;3362;
1002114;"Żychlin - urban area (4)";7435;7435;0;
1002115;"Żychlin - rural area (5)";3362;0;3362;
1003000;"Powiat łaski";48622;15958;32664;
1003000;"Powiat łaski - URBAN-RURAL GMINAS";26843;15958;10885;
1003012;"Buczek (2)";5022;0;5022;
1003023;"Łask (3)";26843;15958;10885;
1003024;"Łask - urban area (4)";15958;15958;0;
1003025;"Łask - rural area (5)";10885;0;10885;
1003032;"Sędziejowice (2)";6167;0;6167;
1003042;"Widawa (2)";6824;0;6824;
1003052;"Wodzierady (2)";3766;0;3766;
1004000;"Powiat łęczycki";46452;15540;30912;
1004000;"Powiat łęczycki - URBAN GMINAS";12976;12976;0;
1004000;"Powiat łęczycki - URBAN-RURAL GMINAS";10857;2564;8293;
1004011;"Łęczyca (1)";12976;12976;0;
1004022;"Daszyna (2)";3599;0;3599;
1004032;"Góra Świętej Małgorzaty (2)";4240;0;4240;
1004043;"Grabów (3)";5287;1017;4270;
1004044;"Grabów - urban area (4)";1017;1017;0;
1004045;"Grabów - rural area (5)";4270;0;4270;
1004052;"Łęczyca (2)";8152;0;8152;
1004063;"Piątek (3)";5570;1547;4023;
1004064;"Piątek - urban area (4)";1547;1547;0;
1004065;"Piątek - rural area (5)";4023;0;4023;
1004072;"Świnice Warckie (2)";3623;0;3623;
1004082;"Witonia (2)";3005;0;3005;
1005000;"Powiat łowicki";73717;26600;47117;
1005000;"Powiat łowicki - URBAN GMINAS";25798;25798;0;
1005000;"Powiat łowicki - URBAN-RURAL GMINAS";3047;802;2245;
1005011;"Łowicz (1)";25798;25798;0;
1005022;"Bielawy (2)";4995;0;4995;
1005032;"Chąśno (2)";2879;0;2879;
1005042;"Domaniewice (2)";4526;0;4526;
1005053;"Kiernozia (3)";3047;802;2245;
1005054;"Kiernozia - urban area (4)";802;802;0;
1005055;"Kiernozia - rural area (5)";2245;0;2245;
1005062;"Kocierzew Południowy (2)";3954;0;3954;
1005072;"Łowicz (2)";7751;0;7751;
1005082;"Łyszkowice (2)";6394;0;6394;
1005092;"Nieborów (2)";9197;0;9197;
1005102;"Zduny (2)";5176;0;5176;
1006000;"Powiat łódzki wschodni";75008;22587;52421;
1006000;"Powiat łódzki wschodni - URBAN-RURAL GMINAS";47131;22587;24544;
1006022;"Andrespol (2)";14819;0;14819;
1006032;"Brójce (2)";7321;0;7321;
1006073;"Koluszki (3)";22765;11961;10804;
1006074;"Koluszki - urban area (4)";11961;11961;0;
1006075;"Koluszki - rural area (5)";10804;0;10804;
1006082;"Nowosolna (2)";5737;0;5737;
1006103;"Rzgów (3)";11512;3455;8057;
1006104;"Rzgów - urban area (4)";3455;3455;0;
1006105;"Rzgów - rural area (5)";8057;0;8057;
1006113;"Tuszyn (3)";12854;7171;5683;
1006114;"Tuszyn - urban area (4)";7171;7171;0;
1006115;"Tuszyn - rural area (5)";5683;0;5683;
1007000;"Powiat opoczyński";71452;24436;47016;
1007000;"Powiat opoczyński - URBAN-RURAL GMINAS";52241;24436;27805;
1007013;"Białaczów (3)";5480;1084;4396;
1007014;"Białaczów - urban area (4)";1084;1084;0;
1007015;"Białaczów - rural area (5)";4396;0;4396;
1007023;"Drzewica (3)";9727;3492;6235;
1007024;"Drzewica - urban area (4)";3492;3492;0;
1007025;"Drzewica - rural area (5)";6235;0;6235;
1007032;"Mniszków (2)";4699;0;4699;
1007043;"Opoczno (3)";31500;18759;12741;
1007044;"Opoczno - urban area (4)";18759;18759;0;
1007045;"Opoczno - rural area (5)";12741;0;12741;
1007052;"Paradyż (2)";4170;0;4170;
1007062;"Poświętne (2)";2876;0;2876;
1007072;"Sławno (2)";7466;0;7466;
1007083;"Żarnów (3)";5534;1101;4433;
1007084;"Żarnów - urban area (4)";1101;1101;0;
1007085;"Żarnów - rural area (5)";4433;0;4433;
1008000;"Powiat pabianicki";119037;81160;37877;
1008000;"Powiat pabianicki - URBAN GMINAS";79573;79573;0;
1008000;"Powiat pabianicki - URBAN-RURAL GMINAS";9588;1587;8001;
1008011;"Konstantynów Łódzki (1)";19305;19305;0;
1008021;"Pabianice (1)";60268;60268;0;
1008032;"Dłutów (2)";4982;0;4982;
1008042;"Dobroń (2)";8136;0;8136;
1008052;"Ksawerów (2)";7704;0;7704;
1008063;"Lutomiersk (3)";9588;1587;8001;
1008064;"Lutomiersk - urban area (4)";1587;1587;0;
1008065;"Lutomiersk - rural area (5)";8001;0;8001;
1008072;"Pabianice (2)";9054;0;9054;
1009000;"Powiat pajęczański";48345;11549;36796;
1009000;"Powiat pajęczański - URBAN-RURAL GMINAS";22463;11549;10914;
1009013;"Działoszyn (3)";11438;5212;6226;
1009014;"Działoszyn - urban area (4)";5212;5212;0;
1009015;"Działoszyn - rural area (5)";6226;0;6226;
1009022;"Kiełczygłów (2)";3741;0;3741;
1009032;"Nowa Brzeźnica (2)";4305;0;4305;
1009043;"Pajęczno (3)";11025;6337;4688;
1009044;"Pajęczno - urban area (4)";6337;6337;0;
1009045;"Pajęczno - rural area (5)";4688;0;4688;
1009052;"Rząśnia (2)";4893;0;4893;
1009062;"Siemkowice (2)";4411;0;4411;
1009072;"Strzelce Wielkie (2)";4136;0;4136;
1009082;"Sulmierzyce (2)";4396;0;4396;
1010000;"Powiat piotrkowski";89945;9789;80156;
1010000;"Powiat piotrkowski - URBAN-RURAL GMINAS";36557;9789;26768;
1010012;"Aleksandrów (2)";4207;0;4207;
1010022;"Czarnocin (2)";4028;0;4028;
1010032;"Gorzkowice (2)";8177;0;8177;
1010042;"Grabica (2)";6061;0;6061;
1010052;"Łęki Szlacheckie (2)";3170;0;3170;
1010062;"Moszczenica (2)";12549;0;12549;
1010072;"Ręczno (2)";3314;0;3314;
1010083;"Rozprza (3)";12185;1627;10558;
1010084;"Rozprza - urban area (4)";1627;1627;0;
1010085;"Rozprza - rural area (5)";10558;0;10558;
1010093;"Sulejów (3)";16546;5896;10650;
1010094;"Sulejów - urban area (4)";5896;5896;0;
1010095;"Sulejów - rural area (5)";10650;0;10650;
1010102;"Wola Krzysztoporska (2)";11882;0;11882;
1010113;"Wolbórz (3)";7826;2266;5560;
1010114;"Wolbórz - urban area (4)";2266;2266;0;
1010115;"Wolbórz - rural area (5)";5560;0;5560;
1011000;"Powiat poddębicki";39267;9708;29559;
1011000;"Powiat poddębicki - URBAN-RURAL GMINAS";21194;9708;11486;
1011012;"Dalików (2)";4033;0;4033;
1011022;"Pęczniew (2)";3338;0;3338;
1011033;"Poddębice (3)";14470;6720;7750;
1011034;"Poddębice - urban area (4)";6720;6720;0;
1011035;"Poddębice - rural area (5)";7750;0;7750;
1011043;"Uniejów (3)";6724;2988;3736;
1011044;"Uniejów - urban area (4)";2988;2988;0;
1011045;"Uniejów - rural area (5)";3736;0;3736;
1011052;"Wartkowice (2)";6066;0;6066;
1011062;"Zadzim (2)";4636;0;4636;
1012000;"Powiat radomszczański";106173;48474;57699;
1012000;"Powiat radomszczański - URBAN GMINAS";42718;42718;0;
1012000;"Powiat radomszczański - URBAN-RURAL GMINAS";12033;5756;6277;
1012011;"Radomsko (1)";42718;42718;0;
1012022;"Dobryszyce (2)";4615;0;4615;
1012032;"Gidle (2)";5717;0;5717;
1012042;"Gomunice (2)";5607;0;5607;
1012053;"Kamieńsk (3)";5527;2599;2928;
1012054;"Kamieńsk - urban area (4)";2599;2599;0;
1012055;"Kamieńsk - rural area (5)";2928;0;2928;
1012062;"Kobiele Wielkie (2)";4222;0;4222;
1012072;"Kodrąb (2)";4234;0;4234;
1012082;"Lgota Wielka (2)";4125;0;4125;
1012092;"Ładzice (2)";4589;0;4589;
1012102;"Masłowice (2)";3868;0;3868;
1012113;"Przedbórz (3)";6506;3157;3349;
1012114;"Przedbórz - urban area (4)";3157;3157;0;
1012115;"Przedbórz - rural area (5)";3349;0;3349;
1012122;"Radomsko (2)";5410;0;5410;
1012132;"Wielgomłyny (2)";4269;0;4269;
1012142;"Żytno (2)";4766;0;4766;
1013000;"Powiat rawski";45925;18856;27069;
1013000;"Powiat rawski - URBAN GMINAS";15884;15884;0;
1013000;"Powiat rawski - URBAN-RURAL GMINAS";10706;2972;7734;
1013011;"Rawa Mazowiecka (1)";15884;15884;0;
1013023;"Biała Rawska (3)";10706;2972;7734;
1013024;"Biała Rawska - urban area (4)";2972;2972;0;
1013025;"Biała Rawska - rural area (5)";7734;0;7734;
1013032;"Cielądz (2)";3904;0;3904;
1013042;"Rawa Mazowiecka (2)";8642;0;8642;
1013052;"Regnów (2)";1701;0;1701;
1013062;"Sadkowice (2)";5088;0;5088;
1014000;"Powiat sieradzki";111022;46771;64251;
1014000;"Powiat sieradzki - URBAN GMINAS";38458;38458;0;
1014000;"Powiat sieradzki - URBAN-RURAL GMINAS";32429;8313;24116;
1014011;"Sieradz (1)";38458;38458;0;
1014023;"Błaszki (3)";13880;1975;11905;
1014024;"Błaszki - urban area (4)";1975;1975;0;
1014025;"Błaszki - rural area (5)";11905;0;11905;
1014032;"Brąszewice (2)";4311;0;4311;
1014042;"Brzeźnio (2)";6138;0;6138;
1014052;"Burzenin (2)";5243;0;5243;
1014062;"Goszczanów (2)";5025;0;5025;
1014072;"Klonowa (2)";2722;0;2722;
1014082;"Sieradz (2)";10818;0;10818;
1014093;"Warta (3)";11776;2923;8853;
1014094;"Warta - urban area (4)";2923;2923;0;
1014095;"Warta - rural area (5)";8853;0;8853;
1014102;"Wróblew (2)";5878;0;5878;
1014113;"Złoczew (3)";6773;3415;3358;
1014114;"Złoczew - urban area (4)";3415;3415;0;
1014115;"Złoczew - rural area (5)";3358;0;3358;
1015000;"Powiat skierniewicki";37733;895;36838;
1015000;"Powiat skierniewicki - URBAN-RURAL GMINAS";3869;895;2974;
1015013;"Bolimów (3)";3869;895;2974;
1015014;"Bolimów - urban area (4)";895;895;0;
1015015;"Bolimów - rural area (5)";2974;0;2974;
1015022;"Głuchów (2)";5439;0;5439;
1015032;"Godzianów (2)";2551;0;2551;
1015042;"Kowiesy (2)";2764;0;2764;
1015052;"Lipce Reymontowskie (2)";3078;0;3078;
1015062;"Maków (2)";5946;0;5946;
1015072;"Nowy Kawęczyn (2)";3432;0;3432;
1015082;"Skierniewice (2)";8170;0;8170;
1015092;"Słupia (2)";2484;0;2484;
1016000;"Powiat tomaszowski";110086;59277;50809;
1016000;"Powiat tomaszowski - URBAN GMINAS";57016;57016;0;
1016000;"Powiat tomaszowski - URBAN-RURAL GMINAS";10938;2261;8677;
1016011;"Tomaszów Mazowiecki (1)";57016;57016;0;
1016022;"Będków (2)";3129;0;3129;
1016032;"Budziszewice (2)";2070;0;2070;
1016042;"Czerniewice (2)";4788;0;4788;
1016053;"Inowłódz (3)";3638;744;2894;
1016054;"Inowłódz - urban area (4)";744;744;0;
1016055;"Inowłódz - rural area (5)";2894;0;2894;
1016062;"Lubochnia (2)";7166;0;7166;
1016072;"Rokiciny (2)";6053;0;6053;
1016082;"Rzeczyca (2)";4377;0;4377;
1016092;"Tomaszów Mazowiecki (2)";11467;0;11467;
1016103;"Ujazd (3)";7300;1517;5783;
1016104;"Ujazd - urban area (4)";1517;1517;0;
1016105;"Ujazd - rural area (5)";5783;0;5783;
1016112;"Żelechlinek (2)";3082;0;3082;
1017000;"Powiat wieluński";72246;21608;50638;
1017000;"Powiat wieluński - URBAN-RURAL GMINAS";34000;21608;12392;
1017012;"Biała (2)";5276;0;5276;
1017022;"Czarnożyły (2)";4352;0;4352;
1017032;"Konopnica (2)";3537;0;3537;
1017042;"Mokrsko (2)";5041;0;5041;
1017053;"Osjaków (3)";4625;1326;3299;
1017054;"Osjaków - urban area (4)";1326;1326;0;
1017055;"Osjaków - rural area (5)";3299;0;3299;
1017062;"Ostrówek (2)";4354;0;4354;
1017072;"Pątnów (2)";6145;0;6145;
1017082;"Skomlin (2)";3175;0;3175;
1017093;"Wieluń (3)";29375;20282;9093;
1017094;"Wieluń - urban area (4)";20282;20282;0;
1017095;"Wieluń - rural area (5)";9093;0;9093;
1017102;"Wierzchlas (2)";6366;0;6366;
1018000;"Powiat wieruszowski";41417;11333;30084;
1018000;"Powiat wieruszowski - URBAN-RURAL GMINAS";22414;11333;11081;
1018013;"Bolesławiec (3)";3849;880;2969;
1018014;"Bolesławiec - urban area (4)";880;880;0;
1018015;"Bolesławiec - rural area (5)";2969;0;2969;
1018022;"Czastary (2)";3895;0;3895;
1018032;"Galewice (2)";6125;0;6125;
1018043;"Lututów (3)";4542;2187;2355;
1018044;"Lututów - urban area (4)";2187;2187;0;
1018045;"Lututów - rural area (5)";2355;0;2355;
1018052;"Łubnice (2)";3837;0;3837;
1018062;"Sokolniki (2)";5146;0;5146;
1018073;"Wieruszów (3)";14023;8266;5757;
1018074;"Wieruszów - urban area (4)";8266;8266;0;
1018075;"Wieruszów - rural area (5)";5757;0;5757;
1019000;"Powiat zduńskowolski";63059;39871;23188;
1019000;"Powiat zduńskowolski - URBAN GMINAS";38126;38126;0;
1019000;"Powiat zduńskowolski - URBAN-RURAL GMINAS";7025;1745;5280;
1019011;"Zduńska Wola (1)";38126;38126;0;
1019023;"Szadek (3)";7025;1745;5280;
1019024;"Szadek - urban area (4)";1745;1745;0;
1019025;"Szadek - rural area (5)";5280;0;5280;
1019032;"Zapolice (2)";5508;0;5508;
1019042;"Zduńska Wola (2)";12400;0;12400;
1020000;"Powiat zgierski";166190;110552;55638;
1020000;"Powiat zgierski - URBAN GMINAS";84252;84252;0;
1020000;"Powiat zgierski - URBAN-RURAL GMINAS";53626;26300;27326;
1020011;"Głowno (1)";13022;13022;0;
1020021;"Ozorków (1)";17969;17969;0;
1020031;"Zgierz (1)";53261;53261;0;
1020043;"Aleksandrów Łódzki (3)";35332;22030;13302;
1020044;"Aleksandrów Łódzki - urban area (4)";22030;22030;0;
1020045;"Aleksandrów Łódzki - rural area (5)";13302;0;13302;
1020052;"Głowno (2)";4620;0;4620;
1020062;"Ozorków (2)";7276;0;7276;
1020073;"Parzęczew (3)";5294;933;4361;
1020074;"Parzęczew - urban area (4)";933;933;0;
1020075;"Parzęczew - rural area (5)";4361;0;4361;
1020083;"Stryków (3)";13000;3337;9663;
1020084;"Stryków - urban area (4)";3337;3337;0;
1020085;"Stryków - rural area (5)";9663;0;9663;
1020092;"Zgierz (2)";16416;0;16416;
1021000;"Powiat brzeziński";30102;13156;16946;
1021000;"Powiat brzeziński - URBAN GMINAS";11902;11902;0;
1021000;"Powiat brzeziński - URBAN-RURAL GMINAS";3132;1254;1878;
1021011;"Brzeziny (1)";11902;11902;0;
1021022;"Brzeziny (2)";6158;0;6158;
1021032;"Dmosin (2)";4343;0;4343;
1021043;"Jeżów (3)";3132;1254;1878;
1021044;"Jeżów - urban area (4)";1254;1254;0;
1021045;"Jeżów - rural area (5)";1878;0;1878;
1021052;"Rogów (2)";4567;0;4567;
1061000;"City with powiat status Łódź";648711;648711;0;
1061000;"City with powiat status Łódź - URBAN GMINAS";648711;648711;0;
1061011;"Łódź (1)";648711;648711;0;
1062000;"City with powiat status Piotrków Trybunalski";66211;66211;0;
1062000;"City with powiat status Piotrków Trybunalski - URBAN GMINAS";66211;66211;0;
1062011;"Piotrków Trybunalski (1)";66211;66211;0;
1063000;"City with powiat status Skierniewice";44976;44976;0;
1063000;"City with powiat status Skierniewice - URBAN GMINAS";44976;44976;0;
1063011;"Skierniewice (1)";44976;44976;0;
1201000;"Powiat bocheński";106911;31093;75818;
1201000;"Powiat bocheński - URBAN GMINAS";28369;28369;0;
1201000;"Powiat bocheński - URBAN-RURAL GMINAS";14461;2724;11737;
1201011;"Bochnia (1)";28369;28369;0;
1201022;"Bochnia (2)";20857;0;20857;
1201032;"Drwinia (2)";6375;0;6375;
1201042;"Lipnica Murowana (2)";5508;0;5508;
1201052;"Łapanów (2)";8614;0;8614;
1201063;"Nowy Wiśnicz (3)";14461;2724;11737;
1201064;"Nowy Wiśnicz - urban area (4)";2724;2724;0;
1201065;"Nowy Wiśnicz - rural area (5)";11737;0;11737;
1201072;"Rzezawa (2)";11487;0;11487;
1201082;"Trzciana (2)";5713;0;5713;
1201092;"Żegocina (2)";5527;0;5527;
1202000;"Powiat brzeski";91497;18112;73385;
1202000;"Powiat brzeski - URBAN-RURAL GMINAS";45053;18112;26941;
1202012;"Borzęcin (2)";8117;0;8117;
1202023;"Brzesko (3)";35354;15833;19521;
1202024;"Brzesko - urban area (4)";15833;15833;0;
1202025;"Brzesko - rural area (5)";19521;0;19521;
1202033;"Czchów (3)";9699;2279;7420;
1202034;"Czchów - urban area (4)";2279;2279;0;
1202035;"Czchów - rural area (5)";7420;0;7420;
1202042;"Dębno (2)";14498;0;14498;
1202052;"Gnojnik (2)";8099;0;8099;
1202062;"Iwkowa (2)";6650;0;6650;
1202072;"Szczurowa (2)";9080;0;9080;
1203000;"Powiat chrzanowski";118194;71186;47008;
1203000;"Powiat chrzanowski - URBAN-RURAL GMINAS";109206;71186;38020;
1203013;"Alwernia (3)";12330;3232;9098;
1203014;"Alwernia - urban area (4)";3232;3232;0;
1203015;"Alwernia - rural area (5)";9098;0;9098;
1203022;"Babice (2)";8988;0;8988;
1203033;"Chrzanów (3)";43704;33707;9997;
1203034;"Chrzanów - urban area (4)";33707;33707;0;
1203035;"Chrzanów - rural area (5)";9997;0;9997;
1203043;"Libiąż (3)";20978;15842;5136;
1203044;"Libiąż - urban area (4)";15842;15842;0;
1203045;"Libiąż - rural area (5)";5136;0;5136;
1203053;"Trzebinia (3)";32194;18405;13789;
1203054;"Trzebinia - urban area (4)";18405;18405;0;
1203055;"Trzebinia - rural area (5)";13789;0;13789;
1204000;"Powiat dąbrowski";57390;15482;41908;
1204000;"Powiat dąbrowski - URBAN-RURAL GMINAS";33275;15482;17793;
1204012;"Bolesław (2)";2640;0;2640;
1204023;"Dąbrowa Tarnowska (3)";20883;11409;9474;
1204024;"Dąbrowa Tarnowska - urban area (4)";11409;11409;0;
1204025;"Dąbrowa Tarnowska - rural area (5)";9474;0;9474;
1204032;"Gręboszów (2)";3147;0;3147;
1204042;"Mędrzechów (2)";3269;0;3269;
1204052;"Olesno (2)";7627;0;7627;
1204062;"Radgoszcz (2)";7432;0;7432;
1204073;"Szczucin (3)";12392;4073;8319;
1204074;"Szczucin - urban area (4)";4073;4073;0;
1204075;"Szczucin - rural area (5)";8319;0;8319;
1205000;"Powiat gorlicki";104927;32710;72217;
1205000;"Powiat gorlicki - URBAN GMINAS";25367;25367;0;
1205000;"Powiat gorlicki - URBAN-RURAL GMINAS";25622;7343;18279;
1205011;"Gorlice (1)";25367;25367;0;
1205023;"Biecz (3)";16016;4290;11726;
1205024;"Biecz - urban area (4)";4290;4290;0;
1205025;"Biecz - rural area (5)";11726;0;11726;
1205033;"Bobowa (3)";9606;3053;6553;
1205034;"Bobowa - urban area (4)";3053;3053;0;
1205035;"Bobowa - rural area (5)";6553;0;6553;
1205042;"Gorlice (2)";16906;0;16906;
1205052;"Lipinki (2)";6661;0;6661;
1205062;"Łużna (2)";8285;0;8285;
1205072;"Moszczenica (2)";4897;0;4897;
1205082;"Ropa (2)";5509;0;5509;
1205092;"Sękowa (2)";4909;0;4909;
1205102;"Uście Gorlickie (2)";6771;0;6771;
1206000;"Powiat krakowski";303577;44102;259475;
1206000;"Powiat krakowski - URBAN-RURAL GMINAS";111636;44102;67534;
1206012;"Czernichów (2)";15453;0;15453;
1206022;"Igołomia-Wawrzeńczyce (2)";7851;0;7851;
1206032;"Iwanowice (2)";9843;0;9843;
1206042;"Jerzmanowice-Przeginia (2)";11170;0;11170;
1206052;"Kocmyrzów-Luborzyca (2)";18516;0;18516;
1206063;"Krzeszowice (3)";31844;9755;22089;
1206064;"Krzeszowice - urban area (4)";9755;9755;0;
1206065;"Krzeszowice - rural area (5)";22089;0;22089;
1206072;"Liszki (2)";18690;0;18690;
1206082;"Michałowice (2)";13507;0;13507;
1206092;"Mogilany (2)";16406;0;16406;
1206103;"Skała (3)";10957;3872;7085;
