"Code";"Name";"registrations of departure, total;total;2021;[person]";"registrations of departure, total;total;2022;[person]";"registrations of departure, total;total;2023;[person]";
0601112;"Piszczac (2)";84;86;75;
0601122;"Rokitno (2)";35;25;32;
0601132;"Rossosz (2)";23;27;37;
0601142;"Sławatycze (2)";18;25;27;
0601152;"Sosnówka (2)";33;25;34;
0601162;"Terespol (2)";81;82;71;
0601172;"Tuczna (2)";47;28;43;
0601182;"Wisznice (2)";61;77;36;
0601192;"Zalesie (2)";54;54;46;
0602000;"Powiat biłgorajski";1149;1161;1131;
0602011;"Biłgoraj (1)";312;361;312;
0602022;"Aleksandrów (2)";36;23;36;
0602032;"Biłgoraj (2)";116;173;143;
0602042;"Biszcza (2)";43;45;47;
0602053;"Frampol (3)";75;74;71;
0602054;"Frampol - urban area (4)";18;28;21;
0602055;"Frampol - rural area (5)";57;46;50;
0602063;"Goraj (3)";69;30;47;
0602064;"Goraj - urban area (4)";11;11;4;
0602065;"Goraj - rural area (5)";58;19;43;
0602073;"Józefów (3)";67;83;88;
0602074;"Józefów - urban area (4)";30;38;33;
0602075;"Józefów - rural area (5)";37;45;55;
0602082;"Księżpol (2)";71;45;57;
0602092;"Łukowa (2)";56;57;43;
0602102;"Obsza (2)";68;52;29;
0602112;"Potok Górny (2)";47;75;58;
0602123;"Tarnogród (3)";81;60;97;
0602124;"Tarnogród - urban area (4)";46;26;58;
0602125;"Tarnogród - rural area (5)";35;34;39;
0602132;"Tereszpol (2)";33;31;33;
0602142;"Turobin (2)";75;52;70;
0603000;"Powiat chełmski";1004;1109;935;
0603011;"Rejowiec Fabryczny (1)";75;50;49;
0603022;"Białopole (2)";30;36;19;
0603032;"Chełm (2)";187;180;206;
0603042;"Dorohusk (2)";75;59;73;
0603052;"Dubienka (2)";29;30;28;
0603062;"Kamień (2)";70;59;47;
0603072;"Leśniowice (2)";47;37;33;
0603082;"Rejowiec Fabryczny (2)";33;90;60;
0603092;"Ruda-Huta (2)";70;51;47;
0603102;"Sawin (2)";69;67;63;
0603113;"Siedliszcze (3)";90;152;101;
0603114;"Siedliszcze - urban area (4)";16;18;13;
0603115;"Siedliszcze - rural area (5)";74;134;88;
0603122;"Wierzbica (2)";66;77;45;
0603132;"Wojsławice (2)";34;64;52;
0603142;"Żmudź (2)";50;48;24;
0603153;"Rejowiec (3)";79;109;88;
0603154;"Rejowiec - urban area (4)";45;49;43;
0603155;"Rejowiec - rural area (5)";34;60;45;
0604000;"Powiat hrubieszowski";886;914;828;
0604011;"Hrubieszów (1)";249;298;254;
0604022;"Dołhobyczów (2)";92;88;72;
0604032;"Horodło (2)";60;59;56;
0604042;"Hrubieszów (2)";139;142;133;
0604052;"Mircze (2)";101;81;80;
0604062;"Trzeszczany (2)";81;71;49;
0604072;"Uchanie (2)";43;52;65;
0604082;"Werbkowice (2)";121;123;119;
0605000;"Powiat janowski";520;562;466;
0605012;"Batorz (2)";25;41;34;
0605022;"Chrzanów (2)";34;35;27;
0605032;"Dzwola (2)";63;52;76;
0605042;"Godziszów (2)";55;64;42;
0605053;"Janów Lubelski (3)";222;234;176;
0605054;"Janów Lubelski - urban area (4)";167;182;128;
0605055;"Janów Lubelski - rural area (5)";55;52;48;
0605063;"Modliborzyce (3)";68;81;67;
0605064;"Modliborzyce - urban area (4)";14;21;15;
0605065;"Modliborzyce - rural area (5)";54;60;52;
0605072;"Potok Wielki (2)";53;55;44;
0606000;"Powiat krasnostawski";673;603;642;
0606011;"Krasnystaw (1)";201;181;163;
0606022;"Fajsławice (2)";51;37;41;
0606032;"Gorzków (2)";31;35;45;
0606042;"Izbica (2)";67;;;
0606043;"Izbica (3)";;65;67;
0606044;"Izbica - urban area (4)";;12;20;
0606045;"Izbica - rural area (5)";;53;47;
0606052;"Krasnystaw (2)";103;99;106;
0606062;"Kraśniczyn (2)";39;27;39;
0606072;"Łopiennik Górny (2)";40;44;28;
0606092;"Rudnik (2)";25;19;35;
0606102;"Siennica Różana (2)";38;43;57;
0606112;"Żółkiewka (2)";78;53;61;
0607000;"Powiat kraśnicki";1033;1044;999;
0607011;"Kraśnik (1)";452;409;430;
0607023;"Annopol (3)";109;99;73;
0607024;"Annopol - urban area (4)";50;28;24;
0607025;"Annopol - rural area (5)";59;71;49;
0607032;"Dzierzkowice (2)";53;50;30;
0607042;"Gościeradów (2)";65;61;54;
0607052;"Kraśnik (2)";53;98;70;
0607062;"Szastarka (2)";62;68;54;
0607072;"Trzydnik Duży (2)";65;53;82;
0607083;"Urzędów (3)";69;96;79;
0607084;"Urzędów - urban area (4)";11;29;11;
0607085;"Urzędów - rural area (5)";58;67;68;
0607092;"Wilkołaz (2)";43;56;69;
0607102;"Zakrzówek (2)";62;54;58;
0608000;"Powiat lubartowski";1054;1007;990;
0608011;"Lubartów (1)";345;309;300;
0608022;"Abramów (2)";41;39;33;
0608032;"Firlej (2)";43;55;58;
0608042;"Jeziorzany (2)";39;39;41;
0608053;"Kamionka (3)";67;54;54;
0608054;"Kamionka - urban area (4)";26;21;14;
0608055;"Kamionka - rural area (5)";41;33;40;
0608063;"Kock (3)";96;80;79;
0608064;"Kock - urban area (4)";74;38;38;
0608065;"Kock - rural area (5)";22;42;41;
0608072;"Lubartów (2)";129;111;135;
0608082;"Michów (2)";63;76;81;
0608092;"Niedźwiada (2)";63;68;40;
0608103;"Ostrów Lubelski (3)";50;62;60;
0608104;"Ostrów Lubelski - urban area (4)";24;21;25;
0608105;"Ostrów Lubelski - rural area (5)";26;41;35;
0608112;"Ostrówek (2)";39;23;36;
0608122;"Serniki (2)";50;50;28;
0608132;"Uścimów (2)";29;41;45;
0609000;"Powiat lubelski";1831;1621;1624;
0609013;"Bełżyce (3)";181;154;148;
0609014;"Bełżyce - urban area (4)";117;90;97;
0609015;"Bełżyce - rural area (5)";64;64;51;
0609022;"Borzechów (2)";30;24;37;
0609033;"Bychawa (3)";195;155;122;
0609034;"Bychawa - urban area (4)";92;87;71;
0609035;"Bychawa - rural area (5)";103;68;51;
0609042;"Garbów (2)";70;105;70;
0609052;"Głusk (2)";149;116;121;
0609062;"Jabłonna (2)";84;59;78;
0609072;"Jastków (2)";161;139;157;
0609082;"Konopnica (2)";198;149;171;
0609092;"Krzczonów (2)";58;40;40;
0609102;"Niedrzwica Duża (2)";93;109;103;
0609112;"Niemce (2)";234;189;191;
0609122;"Strzyżewice (2)";86;86;74;
0609132;"Wojciechów (2)";53;45;56;
0609142;"Wólka (2)";171;171;181;
0609152;"Wysokie (2)";40;56;45;
0609162;"Zakrzew (2)";28;24;30;
0610000;"Powiat łęczyński";900;758;744;
0610012;"Cyców (2)";123;93;87;
0610022;"Ludwin (2)";43;53;57;
0610033;"Łęczna (3)";503;433;403;
0610034;"Łęczna - urban area (4)";462;377;369;
0610035;"Łęczna - rural area (5)";41;56;34;
0610042;"Milejów (2)";104;84;91;
0610052;"Puchaczów (2)";55;42;58;
0610062;"Spiczyn (2)";72;53;48;
0611000;"Powiat łukowski";1346;1366;1277;
0611011;"Łuków (1)";385;440;416;
0611021;"Stoczek Łukowski (1)";43;32;34;
0611032;"Adamów (2)";76;84;70;
0611042;"Krzywda (2)";106;110;115;
0611052;"Łuków (2)";195;227;181;
0611062;"Serokomla (2)";65;33;67;
0611072;"Stanin (2)";103;111;104;
0611082;"Stoczek Łukowski (2)";120;80;61;
0611092;"Trzebieszów (2)";91;102;86;
0611102;"Wojcieszków (2)";79;97;65;
0611112;"Wola Mysłowska (2)";83;50;78;
0612000;"Powiat opolski";707;682;605;
0612012;"Chodel (2)";74;68;78;
0612023;"Józefów nad Wisłą (3)";54;57;63;
0612024;"Józefów nad Wisłą - urban area (4)";4;6;14;
0612025;"Józefów nad Wisłą - rural area (5)";50;51;49;
0612032;"Karczmiska (2)";55;53;47;
0612042;"Łaziska (2)";49;45;57;
0612053;"Opole Lubelskie (3)";207;215;171;
0612054;"Opole Lubelskie - urban area (4)";107;118;107;
0612055;"Opole Lubelskie - rural area (5)";100;97;64;
0612063;"Poniatowa (3)";218;195;159;
0612064;"Poniatowa - urban area (4)";149;116;110;
0612065;"Poniatowa - rural area (5)";69;79;49;
0612072;"Wilków (2)";50;49;30;
0613000;"Powiat parczewski";448;451;462;
0613012;"Dębowa Kłoda (2)";46;59;49;
0613022;"Jabłoń (2)";35;38;38;
0613032;"Milanów (2)";46;37;42;
0613043;"Parczew (3)";182;204;198;
0613044;"Parczew - urban area (4)";116;139;148;
0613045;"Parczew - rural area (5)";66;65;50;
0613052;"Podedwórze (2)";36;14;38;
0613062;"Siemień (2)";46;52;54;
0613072;"Sosnowica (2)";57;47;43;
0614000;"Powiat puławski";1374;1271;1235;
0614011;"Puławy (1)";647;557;586;
0614022;"Baranów (2)";38;38;54;
0614032;"Janowiec (2)";45;30;40;
0614043;"Kazimierz Dolny (3)";81;94;74;
0614044;"Kazimierz Dolny - urban area (4)";25;34;38;
0614045;"Kazimierz Dolny - rural area (5)";56;60;36;
0614052;"Końskowola (2)";86;72;90;
0614062;"Kurów (2)";82;65;52;
0614072;"Markuszów (2)";32;28;13;
0614083;"Nałęczów (3)";105;120;87;
0614084;"Nałęczów - urban area (4)";38;67;40;
0614085;"Nałęczów - rural area (5)";67;53;47;
0614092;"Puławy (2)";148;138;110;
0614102;"Wąwolnica (2)";43;47;47;
0614112;"Żyrzyn (2)";67;82;82;
0615000;"Powiat radzyński";720;654;711;
0615011;"Radzyń Podlaski (1)";239;207;221;
0615022;"Borki (2)";66;53;52;
0615032;"Czemierniki (2)";45;55;39;
0615042;"Kąkolewnica (2)";92;87;94;
0615052;"Komarówka Podlaska (2)";52;36;67;
0615062;"Radzyń Podlaski (2)";83;91;102;
0615072;"Ulan-Majorat (2)";77;74;73;
0615082;"Wohyń (2)";66;51;63;
0616000;"Powiat rycki";742;668;650;
0616011;"Dęblin (1)";296;234;249;
0616022;"Kłoczew (2)";79;70;79;
0616032;"Nowodwór (2)";47;43;49;
0616043;"Ryki (3)";213;218;203;
0616044;"Ryki - urban area (4)";95;110;112;
0616045;"Ryki - rural area (5)";118;108;91;
0616052;"Stężyca (2)";62;55;37;
0616062;"Ułęż (2)";45;48;33;
0617000;"Powiat świdnicki";1053;1043;887;
0617011;"Świdnik (1)";677;660;567;
0617022;"Mełgiew (2)";104;111;117;
0617033;"Piaski (3)";119;134;111;
0617034;"Piaski - urban area (4)";45;47;40;
0617035;"Piaski - rural area (5)";74;87;71;
0617042;"Rybczewice (2)";38;30;27;
0617052;"Trawniki (2)";115;108;65;
0618000;"Powiat tomaszowski";1157;1159;1115;
0618011;"Tomaszów Lubelski (1)";313;299;294;
0618022;"Bełżec (2)";35;58;32;
0618032;"Jarczów (2)";36;38;41;
0618042;"Krynice (2)";38;44;48;
0618053;"Lubycza Królewska (3)";79;109;105;
0618054;"Lubycza Królewska - urban area (4)";30;35;44;
0618055;"Lubycza Królewska - rural area (5)";49;74;61;
0618063;"Łaszczów (3)";72;78;82;
0618064;"Łaszczów - urban area (4)";35;33;25;
0618065;"Łaszczów - rural area (5)";37;45;57;
0618072;"Rachanie (2)";60;57;66;
0618082;"Susiec (2)";91;77;77;
0618092;"Tarnawatka (2)";60;59;42;
0618102;"Telatyn (2)";60;58;61;
0618112;"Tomaszów Lubelski (2)";138;128;126;
0618123;"Tyszowce (3)";85;84;76;
0618124;"Tyszowce - urban area (4)";48;32;44;
0618125;"Tyszowce - rural area (5)";37;52;32;
0618132;"Ulhówek (2)";90;70;65;
0619000;"Powiat włodawski";537;531;502;
0619011;"Włodawa (1)";177;175;175;
0619022;"Hanna (2)";43;36;41;
0619032;"Hańsk (2)";62;61;37;
0619042;"Stary Brus (2)";41;38;29;
0619052;"Urszulin (2)";52;45;33;
0619062;"Włodawa (2)";84;98;90;
0619072;"Wola Uhruska (2)";51;35;35;
0619082;"Wyryki (2)";27;43;62;
0620000;"Powiat zamojski";1229;1218;1161;
0620012;"Adamów (2)";43;46;52;
0620022;"Grabowiec (2)";48;47;34;
0620032;"Komarów-Osada (2)";54;56;65;
0620043;"Krasnobród (3)";86;71;85;
0620044;"Krasnobród - urban area (4)";35;32;33;
0620045;"Krasnobród - rural area (5)";51;39;52;
0620052;"Łabunie (2)";68;80;67;
0620062;"Miączyn (2)";61;92;79;
0620072;"Nielisz (2)";56;73;43;
0620082;"Radecznica (2)";51;54;57;
0620092;"Sitno (2)";82;62;92;
0620102;"Skierbieszów (2)";51;63;45;
0620112;"Stary Zamość (2)";52;65;68;
0620122;"Sułów (2)";70;45;52;
0620133;"Szczebrzeszyn (3)";143;143;114;
0620134;"Szczebrzeszyn - urban area (4)";66;64;56;
0620135;"Szczebrzeszyn - rural area (5)";77;79;58;
0620142;"Zamość (2)";291;256;247;
0620153;"Zwierzyniec (3)";73;65;61;
0620154;"Zwierzyniec - urban area (4)";38;41;37;
0620155;"Zwierzyniec - rural area (5)";35;24;24;
0661000;"City with powiat status Biała Podlaska";831;760;706;
0661011;"Biała Podlaska (1)";831;760;706;
0662000;"City with powiat status Chełm";880;841;791;
0662011;"Chełm (1)";880;841;791;
0663000;"City with powiat status Lublin";3838;3545;3792;
0663011;"Lublin (1)";3838;3545;3792;
0664000;"City with powiat status Zamość";893;843;808;
0664011;"Zamość (1)";893;843;808;
0800000;"LUBUSKIE";13004;12299;12075;
0801000;"Powiat gorzowski";860;850;799;
0801011;"Kostrzyn nad Odrą (1)";184;212;193;
0801022;"Bogdaniec (2)";80;84;77;
0801032;"Deszczno (2)";107;113;104;
0801042;"Kłodawa (2)";109;100;112;
0801052;"Lubiszyn (2)";94;73;67;
0801062;"Santok (2)";124;137;114;
0801073;"Witnica (3)";162;131;132;
0801074;"Witnica - urban area (4)";68;47;65;
0801075;"Witnica - rural area (5)";94;84;67;
0802000;"Powiat krośnieński";777;733;702;
0802011;"Gubin (1)";216;196;223;
0802022;"Bobrowice (2)";45;41;41;
0802032;"Bytnica (2)";34;32;33;
0802042;"Dąbie (2)";89;56;43;
0802052;"Gubin (2)";90;92;75;
0802063;"Krosno Odrzańskie (3)";272;276;254;
0802064;"Krosno Odrzańskie - urban area (4)";177;186;182;
0802065;"Krosno Odrzańskie - rural area (5)";95;90;72;
0802072;"Maszewo (2)";31;40;33;
0803000;"Powiat międzyrzecki";718;740;752;
0803012;"Bledzew (2)";54;48;67;
0803023;"Międzyrzecz (3)";343;333;383;
0803024;"Międzyrzecz - urban area (4)";245;253;279;
0803025;"Międzyrzecz - rural area (5)";98;80;104;
0803032;"Przytoczna (2)";50;56;54;
0803042;"Pszczew (2)";37;48;48;
0803053;"Skwierzyna (3)";143;174;144;
0803054;"Skwierzyna - urban area (4)";92;126;116;
0803055;"Skwierzyna - rural area (5)";51;48;28;
0803063;"Trzciel (3)";91;81;56;
0803064;"Trzciel - urban area (4)";39;38;33;
0803065;"Trzciel - rural area (5)";52;43;23;
0804000;"Powiat nowosolski";1215;1071;1129;
0804011;"Nowa Sól (1)";472;423;472;
0804023;"Bytom Odrzański (3)";83;73;85;
0804024;"Bytom Odrzański - urban area (4)";67;49;73;
0804025;"Bytom Odrzański - rural area (5)";16;24;12;
0804032;"Kolsko (2)";43;33;39;
0804043;"Kożuchów (3)";273;233;221;
0804044;"Kożuchów - urban area (4)";151;132;139;
0804045;"Kożuchów - rural area (5)";122;101;82;
0804052;"Nowa Sól (2)";116;90;117;
0804063;"Nowe Miasteczko (3)";86;69;65;
0804064;"Nowe Miasteczko - urban area (4)";40;34;32;
0804065;"Nowe Miasteczko - rural area (5)";46;35;33;
0804073;"Otyń (3)";109;100;89;
0804074;"Otyń - urban area (4)";17;29;21;
0804075;"Otyń - rural area (5)";92;71;68;
0804082;"Siedlisko (2)";33;50;41;
0805000;"Powiat słubicki";706;546;615;
0805013;"Cybinka (3)";97;84;69;
0805014;"Cybinka - urban area (4)";38;25;28;
0805015;"Cybinka - rural area (5)";59;59;41;
0805022;"Górzyca (2)";52;41;50;
0805033;"Ośno Lubuskie (3)";103;80;89;
0805034;"Ośno Lubuskie - urban area (4)";43;39;53;
0805035;"Ośno Lubuskie - rural area (5)";60;41;36;
0805043;"Rzepin (3)";145;105;115;
0805044;"Rzepin - urban area (4)";79;56;78;
0805045;"Rzepin - rural area (5)";66;49;37;
0805053;"Słubice (3)";309;236;292;
0805054;"Słubice - urban area (4)";252;199;239;
0805055;"Słubice - rural area (5)";57;37;53;
0806000;"Powiat strzelecko-drezdenecki";747;676;656;
0806013;"Dobiegniew (3)";117;90;106;
0806014;"Dobiegniew - urban area (4)";46;31;47;
0806015;"Dobiegniew - rural area (5)";71;59;59;
0806023;"Drezdenko (3)";269;228;233;
0806024;"Drezdenko - urban area (4)";163;122;140;
0806025;"Drezdenko - rural area (5)";106;106;93;
0806032;"Stare Kurowo (2)";56;36;45;
0806043;"Strzelce Krajeńskie (3)";232;258;221;
0806044;"Strzelce Krajeńskie - urban area (4)";131;139;127;
0806045;"Strzelce Krajeńskie - rural area (5)";101;119;94;
0806052;"Zwierzyn (2)";73;64;51;
0807000;"Powiat sulęciński";468;439;480;
0807012;"Krzeszyce (2)";57;63;41;
0807023;"Lubniewice (3)";38;30;41;
0807024;"Lubniewice - urban area (4)";25;16;22;
0807025;"Lubniewice - rural area (5)";13;14;19;
0807032;"Słońsk (2)";57;53;36;
0807043;"Sulęcin (3)";232;199;250;
0807044;"Sulęcin - urban area (4)";109;103;136;
0807045;"Sulęcin - rural area (5)";123;96;114;
0807053;"Torzym (3)";84;94;112;
0807054;"Torzym - urban area (4)";23;32;36;
0807055;"Torzym - rural area (5)";61;62;76;
0808000;"Powiat świebodziński";687;687;726;
0808012;"Lubrza (2)";38;41;50;
0808022;"Łagów (2)";56;51;60;
0808032;"Skąpe (2)";78;47;70;
0808042;"Szczaniec (2)";41;34;56;
0808053;"Świebodzin (3)";384;400;392;
0808054;"Świebodzin - urban area (4)";276;318;316;
0808055;"Świebodzin - rural area (5)";108;82;76;
0808063;"Zbąszynek (3)";90;114;98;
0808064;"Zbąszynek - urban area (4)";54;71;77;
0808065;"Zbąszynek - rural area (5)";36;43;21;
0809000;"Powiat zielonogórski";1149;971;980;
0809013;"Babimost (3)";95;65;93;
0809014;"Babimost - urban area (4)";61;33;55;
0809015;"Babimost - rural area (5)";34;32;38;
0809022;"Bojadła (2)";37;20;34;
0809033;"Czerwieńsk (3)";152;120;131;
0809034;"Czerwieńsk - urban area (4)";73;67;72;
0809035;"Czerwieńsk - rural area (5)";79;53;59;
0809043;"Kargowa (3)";78;73;67;
0809044;"Kargowa - urban area (4)";44;55;35;
0809045;"Kargowa - rural area (5)";34;18;32;
0809053;"Nowogród Bobrzański (3)";115;103;120;
0809054;"Nowogród Bobrzański - urban area (4)";48;50;63;
0809055;"Nowogród Bobrzański - rural area (5)";67;53;57;
0809063;"Sulechów (3)";475;382;381;
0809064;"Sulechów - urban area (4)";334;271;268;
0809065;"Sulechów - rural area (5)";141;111;113;
0809072;"Świdnica (2)";102;81;73;
0809082;"Trzebiechów (2)";34;58;37;
0809092;"Zabór (2)";61;69;44;
0810000;"Powiat żagański";1281;1137;1053;
0810011;"Gozdnica (1)";56;45;41;
0810021;"Żagań (1)";438;351;331;
0810032;"Brzeźnica (2)";66;44;39;
0810043;"Iłowa (3)";87;95;71;
0810044;"Iłowa - urban area (4)";39;56;42;
0810045;"Iłowa - rural area (5)";48;39;29;
0810053;"Małomice (3)";77;67;71;
0810054;"Małomice - urban area (4)";43;42;57;
0810055;"Małomice - rural area (5)";34;25;14;
0810062;"Niegosławice (2)";62;61;43;
0810073;"Szprotawa (3)";343;340;306;
0810074;"Szprotawa - urban area (4)";173;204;181;
0810075;"Szprotawa - rural area (5)";170;136;125;
0810082;"Wymiarki (2)";27;22;34;
0810092;"Żagań (2)";125;112;117;
0811000;"Powiat żarski";1243;1223;1104;
0811011;"Łęknica (1)";51;40;39;
0811021;"Żary (1)";450;476;428;
0811032;"Brody (2)";49;51;47;
0811043;"Jasień (3)";111;102;97;
0811044;"Jasień - urban area (4)";57;58;57;
0811045;"Jasień - rural area (5)";54;44;40;
0811052;"Lipinki Łużyckie (2)";55;34;40;
0811063;"Lubsko (3)";212;240;211;
0811064;"Lubsko - urban area (4)";157;174;146;
0811065;"Lubsko - rural area (5)";55;66;65;
0811072;"Przewóz (2)";41;41;36;
0811082;"Trzebiel (2)";66;67;53;
0811092;"Tuplice (2)";35;41;37;
0811102;"Żary (2)";173;131;116;
0812000;"Powiat wschowski";490;487;458;
0812013;"Sława (3)";142;141;143;
0812014;"Sława - urban area (4)";60;54;61;
0812015;"Sława - rural area (5)";82;87;82;
0812023;"Szlichtyngowa (3)";46;70;77;
0812024;"Szlichtyngowa - urban area (4)";9;21;16;
0812025;"Szlichtyngowa - rural area (5)";37;49;61;
0812033;"Wschowa (3)";302;276;238;
0812034;"Wschowa - urban area (4)";189;192;160;
0812035;"Wschowa - rural area (5)";113;84;78;
0861000;"City with powiat status Gorzów Wielkopolski";1514;1538;1433;
0861011;"Gorzów Wielkopolski (1)";1514;1538;1433;
0862000;"City with powiat status Zielona Góra";1149;1201;1188;
0862011;"Zielona Góra (1)";1149;1201;1188;
1000000;"ŁÓDZKIE";24722;23884;22932;
1001000;"Powiat bełchatowski";1682;1794;1410;
1001011;"Bełchatów (1)";1062;1135;829;
1001022;"Bełchatów (2)";138;136;152;
1001032;"Drużbice (2)";55;45;52;
1001042;"Kleszczów (2)";85;53;51;
1001052;"Kluki (2)";57;60;41;
1001062;"Rusiec (2)";37;54;49;
1001072;"Szczerców (2)";76;74;64;
1001083;"Zelów (3)";172;237;172;
1001084;"Zelów - urban area (4)";94;135;99;
1001085;"Zelów - rural area (5)";78;102;73;
1002000;"Powiat kutnowski";1094;1058;1052;
1002011;"Kutno (1)";459;432;457;
1002022;"Bedlno (2)";72;55;51;
1002032;"Dąbrowice (2)";17;25;;
1002033;"Dąbrowice (3)";;;15;
1002034;"Dąbrowice - urban area (4)";;;8;
1002035;"Dąbrowice - rural area (5)";;;7;
1002043;"Krośniewice (3)";89;96;89;
1002044;"Krośniewice - urban area (4)";46;52;48;
1002045;"Krośniewice - rural area (5)";43;44;41;
1002052;"Krzyżanów (2)";29;60;38;
1002062;"Kutno (2)";104;96;107;
1002072;"Łanięta (2)";42;26;28;
1002082;"Nowe Ostrowy (2)";42;38;43;
1002092;"Oporów (2)";23;23;26;
1002102;"Strzelce (2)";41;48;30;
1002113;"Żychlin (3)";176;159;168;
1002114;"Żychlin - urban area (4)";114;96;120;
1002115;"Żychlin - rural area (5)";62;63;48;
1003000;"Powiat łaski";588;533;519;
1003012;"Buczek (2)";37;53;50;
1003023;"Łask (3)";377;326;309;
1003024;"Łask - urban area (4)";281;235;200;
1003025;"Łask - rural area (5)";96;91;109;
1003032;"Sędziejowice (2)";62;47;67;
1003042;"Widawa (2)";78;80;66;
1003052;"Wodzierady (2)";34;27;27;
1004000;"Powiat łęczycki";541;532;470;
1004011;"Łęczyca (1)";180;144;148;
1004022;"Daszyna (2)";59;33;38;
1004032;"Góra Świętej Małgorzaty (2)";29;51;32;
1004042;"Grabów (2)";65;48;59;
1004052;"Łęczyca (2)";96;111;88;
1004063;"Piątek (3)";55;75;35;
1004064;"Piątek - urban area (4)";17;20;14;
1004065;"Piątek - rural area (5)";38;55;21;
1004072;"Świnice Warckie (2)";31;40;35;
1004082;"Witonia (2)";26;30;35;
1005000;"Powiat łowicki";878;746;706;
1005011;"Łowicz (1)";340;309;305;
1005022;"Bielawy (2)";72;47;40;
1005032;"Chąśno (2)";36;25;21;
1005042;"Domaniewice (2)";51;29;38;
1005052;"Kiernozia (2)";33;25;37;
1005062;"Kocierzew Południowy (2)";68;62;42;
1005072;"Łowicz (2)";68;63;62;
1005082;"Łyszkowice (2)";65;44;43;
1005092;"Nieborów (2)";88;92;75;
1005102;"Zduny (2)";57;50;43;
1006000;"Powiat łódzki wschodni";672;680;669;
1006022;"Andrespol (2)";93;125;106;
1006032;"Brójce (2)";55;46;52;
1006073;"Koluszki (3)";217;236;240;
1006074;"Koluszki - urban area (4)";114;143;129;
1006075;"Koluszki - rural area (5)";103;93;111;
1006082;"Nowosolna (2)";40;46;53;
1006103;"Rzgów (3)";118;110;105;
1006104;"Rzgów - urban area (4)";39;34;42;
1006105;"Rzgów - rural area (5)";79;76;63;
1006113;"Tuszyn (3)";149;117;113;
1006114;"Tuszyn - urban area (4)";96;77;62;
1006115;"Tuszyn - rural area (5)";53;40;51;
1007000;"Powiat opoczyński";904;933;815;
1007012;"Białaczów (2)";59;64;45;
1007023;"Drzewica (3)";131;124;113;
1007024;"Drzewica - urban area (4)";56;59;29;
1007025;"Drzewica - rural area (5)";75;65;84;
1007032;"Mniszków (2)";38;43;33;
1007043;"Opoczno (3)";478;494;410;
1007044;"Opoczno - urban area (4)";345;346;292;
1007045;"Opoczno - rural area (5)";133;148;118;
1007052;"Paradyż (2)";24;47;50;
1007062;"Poświętne (2)";30;21;36;
1007072;"Sławno (2)";76;82;78;
1007082;"Żarnów (2)";68;58;50;
1008000;"Powiat pabianicki";1241;1156;1193;
1008011;"Konstantynów Łódzki (1)";156;202;180;
1008021;"Pabianice (1)";741;638;676;
1008032;"Dłutów (2)";36;36;26;
1008042;"Dobroń (2)";49;68;65;
1008052;"Ksawerów (2)";103;91;79;
1008062;"Lutomiersk (2)";74;;;
1008063;"Lutomiersk (3)";;71;100;
1008064;"Lutomiersk - urban area (4)";;14;14;
1008065;"Lutomiersk - rural area (5)";;57;86;
1008072;"Pabianice (2)";82;50;67;
1009000;"Powiat pajęczański";613;596;501;
1009013;"Działoszyn (3)";168;164;134;
1009014;"Działoszyn - urban area (4)";103;84;64;
1009015;"Działoszyn - rural area (5)";65;80;70;
1009022;"Kiełczygłów (2)";38;44;42;
1009032;"Nowa Brzeźnica (2)";48;48;37;
1009043;"Pajęczno (3)";161;160;110;
1009044;"Pajęczno - urban area (4)";104;102;71;
1009045;"Pajęczno - rural area (5)";57;58;39;
1009052;"Rząśnia (2)";50;37;51;
1009062;"Siemkowice (2)";54;46;34;
1009072;"Strzelce Wielkie (2)";44;47;52;
1009082;"Sulmierzyce (2)";50;50;41;
1010000;"Powiat piotrkowski";892;774;806;
1010012;"Aleksandrów (2)";36;33;41;
1010022;"Czarnocin (2)";48;47;45;
1010032;"Gorzkowice (2)";93;82;73;
1010042;"Grabica (2)";54;65;34;
1010052;"Łęki Szlacheckie (2)";44;29;47;
1010062;"Moszczenica (2)";127;105;106;
1010072;"Ręczno (2)";32;51;26;
1010082;"Rozprza (2)";108;89;;
1010083;"Rozprza (3)";;;120;
1010084;"Rozprza - urban area (4)";;;16;
1010085;"Rozprza - rural area (5)";;;104;
1010093;"Sulejów (3)";150;137;145;
1010094;"Sulejów - urban area (4)";62;56;63;
1010095;"Sulejów - rural area (5)";88;81;82;
1010102;"Wola Krzysztoporska (2)";114;92;98;
1010113;"Wolbórz (3)";86;44;71;
1010114;"Wolbórz - urban area (4)";24;13;25;
1010115;"Wolbórz - rural area (5)";62;31;46;
1011000;"Powiat poddębicki";407;435;390;
1011012;"Dalików (2)";28;40;33;
1011022;"Pęczniew (2)";31;37;27;
1011033;"Poddębice (3)";173;156;126;
1011034;"Poddębice - urban area (4)";103;81;70;
1011035;"Poddębice - rural area (5)";70;75;56;
1011043;"Uniejów (3)";88;92;94;
1011044;"Uniejów - urban area (4)";34;42;32;
1011045;"Uniejów - rural area (5)";54;50;62;
1011052;"Wartkowice (2)";39;64;63;
1011062;"Zadzim (2)";48;46;47;
1012000;"Powiat radomszczański";1164;1207;1128;
1012011;"Radomsko (1)";468;429;394;
1012022;"Dobryszyce (2)";38;70;49;
1012032;"Gidle (2)";66;46;55;
1012042;"Gomunice (2)";74;58;63;
1012053;"Kamieńsk (3)";77;76;88;
